site_id|config_id|run_id|stat_id|stat_name|stat_waits|stat_total_wts|stat_avg_wtms|start_time
37|1|2|266629|undo header|14102.81|9.44|1|06-OCT-14 08.00.00.000000 AM
37|1|2|266632|1st level bmb|183.31|0|.44|06-OCT-14 08.00.00.000000 AM
37|1|2|266634|3rd level bmb|9.5|0|.38|06-OCT-14 08.00.00.000000 AM
37|1|2|267964|file header block|1|1|920|06-OCT-14 08.00.00.000000 AM
37|1|2|266627|data block|929544.19|2635.5|3|06-OCT-14 08.00.00.000000 AM
37|1|2|266631|undo block|34451.56|24.06|1|06-OCT-14 08.00.00.000000 AM
37|1|2|266633|2nd level bmb|210|0|.5|06-OCT-14 08.00.00.000000 AM
37|1|2|266630|segment header|297.31|3.25|13.31|06-OCT-14 08.00.00.000000 AM
37|1|2|266628|free list|15132.13|7.75|.5|06-OCT-14 08.00.00.000000 AM
37|1|1|266631|undo block|1243.06|.06|0|03-OCT-14 08.00.00.000000 AM
37|1|1|266627|data block|1503792.81|834.94|.94|03-OCT-14 08.00.00.000000 AM
37|1|1|266630|segment header|66.56|.75|13.13|03-OCT-14 08.00.00.000000 AM
37|1|1|266628|free list|4058.88|1.44|.06|03-OCT-14 08.00.00.000000 AM
37|1|1|266632|1st level bmb|109.75|0|.44|03-OCT-14 08.00.00.000000 AM
37|1|1|266633|2nd level bmb|114.44|0|.63|03-OCT-14 08.00.00.000000 AM
37|1|1|266634|3rd level bmb|8.64|0|.71|03-OCT-14 08.00.00.000000 AM
37|1|1|266629|undo header|1501.13|1.06|.5|03-OCT-14 08.00.00.000000 AM
37|1|6|266630|segment header|165.63|3.63|24.81|10-OCT-14 08.00.00.000000 AM
37|1|6|266631|undo block|1705.06|.5|.06|10-OCT-14 08.00.00.000000 AM
37|1|6|267964|file header block|1|0|180|10-OCT-14 08.00.00.000000 AM
37|1|6|266627|data block|787903.69|587.31|1|10-OCT-14 08.00.00.000000 AM
37|1|6|266632|1st level bmb|149.06|0|.5|10-OCT-14 08.00.00.000000 AM
37|1|6|266634|3rd level bmb|8.25|0|.88|10-OCT-14 08.00.00.000000 AM
37|1|6|266629|undo header|1285.75|1|.75|10-OCT-14 08.00.00.000000 AM
37|1|6|266628|free list|4004.5|1.63|0|10-OCT-14 08.00.00.000000 AM
37|1|6|266633|2nd level bmb|155.69|0|.25|10-OCT-14 08.00.00.000000 AM
37|1|3|266631|undo block|1151.5|.13|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266633|2nd level bmb|204.56|0|.5|07-OCT-14 08.00.00.000000 AM
37|1|3|266627|data block|795585.31|753.13|1.06|07-OCT-14 08.00.00.000000 AM
37|1|3|266630|segment header|446.5|14.19|33.56|07-OCT-14 08.00.00.000000 AM
37|1|3|266632|1st level bmb|198.88|0|.38|07-OCT-14 08.00.00.000000 AM
37|1|3|267964|file header block|1|0|55|07-OCT-14 08.00.00.000000 AM
37|1|3|266628|free list|2547.69|1.13|.38|07-OCT-14 08.00.00.000000 AM
37|1|3|266629|undo header|1382.31|1.13|.88|07-OCT-14 08.00.00.000000 AM
37|1|3|266634|3rd level bmb|8.29|0|.5|07-OCT-14 08.00.00.000000 AM
37|1|5|266632|1st level bmb|319.25|0|.44|09-OCT-14 08.00.00.000000 AM
37|1|5|266629|undo header|1895.5|1.13|.94|09-OCT-14 08.00.00.000000 AM
37|1|5|266631|undo block|3204.19|2.06|.38|09-OCT-14 08.00.00.000000 AM
37|1|5|266627|data block|903349.69|932.13|1|09-OCT-14 08.00.00.000000 AM
37|1|5|266628|free list|5694.5|2.5|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266634|3rd level bmb|7.43|0|.14|09-OCT-14 08.00.00.000000 AM
37|1|5|266630|segment header|280.06|7.13|28.56|09-OCT-14 08.00.00.000000 AM
37|1|5|266633|2nd level bmb|181.81|0|.31|09-OCT-14 08.00.00.000000 AM
37|1|4|266627|data block|837493.56|546.44|.94|08-OCT-14 08.00.00.000000 AM
37|1|4|266628|free list|3685.19|1.75|.19|08-OCT-14 08.00.00.000000 AM
37|1|4|266632|1st level bmb|181.13|0|.38|08-OCT-14 08.00.00.000000 AM
37|1|4|266634|3rd level bmb|12.8|0|.47|08-OCT-14 08.00.00.000000 AM
37|1|4|266631|undo block|1465.88|.88|.5|08-OCT-14 08.00.00.000000 AM
37|1|4|266629|undo header|1739.13|1.06|.88|08-OCT-14 08.00.00.000000 AM
37|1|4|266630|segment header|585.63|20.75|36.75|08-OCT-14 08.00.00.000000 AM
37|1|4|267964|file header block|1.5|0|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266633|2nd level bmb|248|0|.5|08-OCT-14 08.00.00.000000 AM
37|1|7|266629|undo header|7078.69|5.31|1|13-OCT-14 08.00.00.000000 AM
37|1|7|266627|data block|911207.31|1339.13|1.69|13-OCT-14 08.00.00.000000 AM
37|1|7|266628|free list|20132.75|9.44|.31|13-OCT-14 08.00.00.000000 AM
37|1|7|266631|undo block|13874.56|10.19|1|13-OCT-14 08.00.00.000000 AM
37|1|7|266632|1st level bmb|805.44|3.44|1.88|13-OCT-14 08.00.00.000000 AM
37|1|7|266634|3rd level bmb|6.43|0|.43|13-OCT-14 08.00.00.000000 AM
37|1|7|266633|2nd level bmb|269.75|0|.81|13-OCT-14 08.00.00.000000 AM
37|1|7|266630|segment header|366.81|6.56|20.94|13-OCT-14 08.00.00.000000 AM
37|1|7|267964|file header block|1|0|5|13-OCT-14 08.00.00.000000 AM
37|1|11|266628|free list|6151.38|2.75|.13|17-OCT-14 08.00.00.000000 AM
37|1|11|266627|data block|1031775.13|753.13|.94|17-OCT-14 08.00.00.000000 AM
37|1|11|266630|segment header|184.75|3.75|23.19|17-OCT-14 08.00.00.000000 AM
37|1|11|266631|undo block|1383.5|.44|0|17-OCT-14 08.00.00.000000 AM
37|1|11|266632|1st level bmb|272.06|.06|.31|17-OCT-14 08.00.00.000000 AM
37|1|11|267964|file header block|1|0|0|17-OCT-14 08.00.00.000000 AM
37|1|11|266634|3rd level bmb|11.81|0|.13|17-OCT-14 08.00.00.000000 AM
37|1|11|266633|2nd level bmb|199.38|0|.19|17-OCT-14 08.00.00.000000 AM
37|1|11|266629|undo header|1413.13|1.06|.81|17-OCT-14 08.00.00.000000 AM
37|1|12|266627|data block|758416.81|731.25|1.06|20-OCT-14 08.00.00.000000 AM
37|1|12|266632|1st level bmb|338.94|0|.31|20-OCT-14 08.00.00.000000 AM
37|1|12|266629|undo header|3524.31|2|.75|20-OCT-14 08.00.00.000000 AM
37|1|12|266633|2nd level bmb|134.44|0|.25|20-OCT-14 08.00.00.000000 AM
37|1|12|266630|segment header|559.5|17.75|34|20-OCT-14 08.00.00.000000 AM
37|1|12|266631|undo block|5131.19|2.69|.13|20-OCT-14 08.00.00.000000 AM
37|1|12|266628|free list|3641.31|2.06|.69|20-OCT-14 08.00.00.000000 AM
37|1|12|266634|3rd level bmb|39.5|0|.25|20-OCT-14 08.00.00.000000 AM
37|1|9|266631|undo block|5315.94|4.31|1|15-OCT-14 08.00.00.000000 AM
