site_id|config_id|run_id|stat_id|stat_name|stat_get_req|stat_miss_pct_g|stat_scan_req|stat_miss_pct_s|stat_mod_req|stat_final_usage|start_time
37|1|1|266241|dc_profiles|13406|0|0||0|16|03-OCT-14 08.00.00.000000 AM
37|1|1|266242|dc_rollback_segments|164795321|0|0||0|168911|03-OCT-14 08.00.00.000000 AM
37|1|1|266249|kqlsubheap_object|62273|0|0||0|48|03-OCT-14 08.00.00.000000 AM
37|1|1|266246|dc_tablespaces|118161061|0|0||0|1403|03-OCT-14 08.00.00.000000 AM
37|1|1|266247|dc_users|1001882866|0|0||0|1181|03-OCT-14 08.00.00.000000 AM
37|1|1|266252|qmtmrcin_cache_entries|4|100|0||0|0|03-OCT-14 08.00.00.000000 AM
37|1|1|266237|dc_histogram_data|3240959|.7|0||0|134867|03-OCT-14 08.00.00.000000 AM
37|1|1|266238|dc_histogram_defs|7095735|.3|0||228|90261|03-OCT-14 08.00.00.000000 AM
37|1|1|266245|dc_table_scns|2587|17.59|0||652|3|03-OCT-14 08.00.00.000000 AM
37|1|1|266251|qmc_app_cache_entries|70|12|0||0|13|03-OCT-14 08.00.00.000000 AM
37|1|1|267308|dc_files|34585|43.49|0||0|24059|03-OCT-14 08.00.00.000000 AM
37|1|1|266253|qmtmrciq_cache_entries|12|100|0||0|6|03-OCT-14 08.00.00.000000 AM
37|1|1|266254|qmtmrctn_cache_entries|2|100|0||0|1|03-OCT-14 08.00.00.000000 AM
37|1|1|266248|global database name|223112|0|0||0|21|03-OCT-14 08.00.00.000000 AM
37|1|1|266255|sch_lj_oids|369425|.42|0||0|79|03-OCT-14 08.00.00.000000 AM
37|1|1|266235|dc_awr_control|2438|2.46|0||4|16|03-OCT-14 08.00.00.000000 AM
37|1|1|266240|dc_objects|709843959|.01|0||413|173568|03-OCT-14 08.00.00.000000 AM
37|1|1|266236|dc_global_oids|701933012|0|0||199|10912|03-OCT-14 08.00.00.000000 AM
37|1|1|266239|dc_object_grants|20155|.37|0||0|674|03-OCT-14 08.00.00.000000 AM
37|1|1|266250|outstanding_alerts|15089|100|0||0|79|03-OCT-14 08.00.00.000000 AM
37|1|1|266243|dc_segments|3748119|4.12|0||1028|390146|03-OCT-14 08.00.00.000000 AM
37|1|1|266244|dc_sequences|1069|67.73|0||1069|29|03-OCT-14 08.00.00.000000 AM
37|1|2|266238|dc_histogram_defs|8192812|.25|0||23|68262|06-OCT-14 08.00.00.000000 AM
37|1|2|266245|dc_table_scns|3327|17.84|0||840|3|06-OCT-14 08.00.00.000000 AM
37|1|2|266248|global database name|158726|0|0||0|20|06-OCT-14 08.00.00.000000 AM
37|1|2|266250|outstanding_alerts|15181|99.97|0||6|158|06-OCT-14 08.00.00.000000 AM
37|1|2|266255|sch_lj_oids|376308|2.5|0||0|67|06-OCT-14 08.00.00.000000 AM
37|1|2|266253|qmtmrciq_cache_entries|44|74.6|0||0|14|06-OCT-14 08.00.00.000000 AM
37|1|2|266237|dc_histogram_data|3517919|.65|0||0|109522|06-OCT-14 08.00.00.000000 AM
37|1|2|266247|dc_users|1315622324|0|0||0|1200|06-OCT-14 08.00.00.000000 AM
37|1|2|268039|dc_constraints|2|100|0||2|2|06-OCT-14 08.00.00.000000 AM
37|1|2|266239|dc_object_grants|24019|.22|0||0|821|06-OCT-14 08.00.00.000000 AM
37|1|2|266242|dc_rollback_segments|221178554|0|0||0|168911|06-OCT-14 08.00.00.000000 AM
37|1|2|266240|dc_objects|860638862|0|0||445|164774|06-OCT-14 08.00.00.000000 AM
37|1|2|266244|dc_sequences|1353|69.57|0||1353|31|06-OCT-14 08.00.00.000000 AM
37|1|2|266254|qmtmrctn_cache_entries|14|19.05|0||0|5|06-OCT-14 08.00.00.000000 AM
37|1|2|266235|dc_awr_control|2639|2.27|0||4|16|06-OCT-14 08.00.00.000000 AM
37|1|2|266241|dc_profiles|15396|0|0||0|16|06-OCT-14 08.00.00.000000 AM
37|1|2|266243|dc_segments|3869485|4.41|0||1420|309357|06-OCT-14 08.00.00.000000 AM
37|1|2|266246|dc_tablespaces|162931668|0|0||0|1430|06-OCT-14 08.00.00.000000 AM
37|1|2|266251|qmc_app_cache_entries|121|0|0||0|11|06-OCT-14 08.00.00.000000 AM
37|1|2|266236|dc_global_oids|911940375|0|0||263|10610|06-OCT-14 08.00.00.000000 AM
37|1|2|267308|dc_files|20751|47.79|0||0|20751|06-OCT-14 08.00.00.000000 AM
37|1|2|266249|kqlsubheap_object|70831|0|0||0|48|06-OCT-14 08.00.00.000000 AM
37|1|2|266252|qmtmrcin_cache_entries|28|28.57|0||0|12|06-OCT-14 08.00.00.000000 AM
37|1|4|267308|dc_files|20751|47.9|0||0|13834|08-OCT-14 08.00.00.000000 AM
37|1|4|266251|qmc_app_cache_entries|66|4.17|0||0|11|08-OCT-14 08.00.00.000000 AM
37|1|4|266243|dc_segments|5298046|4.46|0||1830|347524|08-OCT-14 08.00.00.000000 AM
37|1|4|266247|dc_users|1273889593|0|0||0|1043|08-OCT-14 08.00.00.000000 AM
37|1|4|266254|qmtmrctn_cache_entries|5|50|0||0|4|08-OCT-14 08.00.00.000000 AM
37|1|4|266236|dc_global_oids|830735297|0|0||156|10310|08-OCT-14 08.00.00.000000 AM
37|1|4|266245|dc_table_scns|4364|17.78|0||1100|3|08-OCT-14 08.00.00.000000 AM
37|1|4|266246|dc_tablespaces|175973291|0|0||0|1417|08-OCT-14 08.00.00.000000 AM
37|1|4|266250|outstanding_alerts|15168|100|0||0|79|08-OCT-14 08.00.00.000000 AM
37|1|4|266253|qmtmrciq_cache_entries|14|100|0||0|2|08-OCT-14 08.00.00.000000 AM
37|1|4|266248|global database name|158560|.01|0||0|20|08-OCT-14 08.00.00.000000 AM
37|1|4|266241|dc_profiles|13982|0|0||0|16|08-OCT-14 08.00.00.000000 AM
37|1|4|266255|sch_lj_oids|369647|4.17|0||0|72|08-OCT-14 08.00.00.000000 AM
37|1|4|266238|dc_histogram_defs|9217261|.18|0||119|73001|08-OCT-14 08.00.00.000000 AM
37|1|4|266239|dc_object_grants|28836|.16|0||0|715|08-OCT-14 08.00.00.000000 AM
37|1|4|266240|dc_objects|896626397|0|0||305|159548|08-OCT-14 08.00.00.000000 AM
37|1|4|266242|dc_rollback_segments|79263262|0|0||0|168911|08-OCT-14 08.00.00.000000 AM
37|1|4|266237|dc_histogram_data|3962031|.49|0||0|125775|08-OCT-14 08.00.00.000000 AM
37|1|4|266235|dc_awr_control|2605|2.3|0||4|16|08-OCT-14 08.00.00.000000 AM
