site_id|config_id|run_id|stat_id|stat_name|stat_ges_req|stat_ges_conflict|stat_ges_release|start_time
37|1|1|266263|dc_users|713|0|727|03-OCT-14 08.00.00.000000 AM
37|1|1|267253|dc_tablespaces|418|0|404|03-OCT-14 08.00.00.000000 AM
37|1|1|266256|dc_awr_control|68|60|0|03-OCT-14 08.00.00.000000 AM
37|1|1|266257|dc_global_oids|769|36|629|03-OCT-14 08.00.00.000000 AM
37|1|1|266264|outstanding_alerts|30178|15168|0|03-OCT-14 08.00.00.000000 AM
37|1|1|266259|dc_objects|42151|228|21145|03-OCT-14 08.00.00.000000 AM
37|1|1|266260|dc_segments|145551|1060|120409|03-OCT-14 08.00.00.000000 AM
37|1|1|267309|dc_files|15490|0|8401|03-OCT-14 08.00.00.000000 AM
37|1|1|266265|qmtmrcin_cache_entries|4|0|4|03-OCT-14 08.00.00.000000 AM
37|1|1|266267|qmtmrctn_cache_entries|2|0|1|03-OCT-14 08.00.00.000000 AM
37|1|1|267254|qmc_app_cache_entries|2|0|1|03-OCT-14 08.00.00.000000 AM
37|1|1|266262|dc_table_scns|1288|456|0|03-OCT-14 08.00.00.000000 AM
37|1|1|266261|dc_sequences|2134|720|1|03-OCT-14 08.00.00.000000 AM
37|1|1|266258|dc_histogram_defs|20718|0|21271|03-OCT-14 08.00.00.000000 AM
37|1|1|267137|global database name|2|0|0|03-OCT-14 08.00.00.000000 AM
37|1|1|266266|qmtmrciq_cache_entries|12|0|6|03-OCT-14 08.00.00.000000 AM
37|1|1|266268|sch_lj_oids|1|0|1|03-OCT-14 08.00.00.000000 AM
37|1|2|266263|dc_users|908|0|841|06-OCT-14 08.00.00.000000 AM
37|1|2|266268|sch_lj_oids|6|0|4|06-OCT-14 08.00.00.000000 AM
37|1|2|266260|dc_segments|141921|1952|152107|06-OCT-14 08.00.00.000000 AM
37|1|2|268040|dc_constraints|4|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|267137|global database name|4|0|2|06-OCT-14 08.00.00.000000 AM
37|1|2|266257|dc_global_oids|1718|39|1461|06-OCT-14 08.00.00.000000 AM
37|1|2|266265|qmtmrcin_cache_entries|8|0|4|06-OCT-14 08.00.00.000000 AM
37|1|2|266259|dc_objects|24848|288|26357|06-OCT-14 08.00.00.000000 AM
37|1|2|266258|dc_histogram_defs|20167|0|20742|06-OCT-14 08.00.00.000000 AM
37|1|2|266267|qmtmrctn_cache_entries|2|0|1|06-OCT-14 08.00.00.000000 AM
37|1|2|266256|dc_awr_control|68|60|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266261|dc_sequences|2702|933|2|06-OCT-14 08.00.00.000000 AM
