site_id|config_id|run_id|stat_id|stat_name|stat_requests|stat_succ_gets|stat_fail_gets|stat_waits|stat_wt_ts|stat_avg_wttms|start_time
37|1|2|266666|DR-Distributed Recovery|4|4|0|4|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266641|CF-Controlfile Transaction|135476.06|134629.06|846.94|3984.5|3.44|.85|06-OCT-14 08.00.00.000000 AM
37|1|2|266644|HW-Segment High Water Mark|65981.31|65929.94|50.63|6998|3.25|.47|06-OCT-14 08.00.00.000000 AM
37|1|2|266645|TX-Transaction|1318833.56|1318597.13|213|67.44|7.81|128.22|06-OCT-14 08.00.00.000000 AM
37|1|2|266670|TS-Temporary Segment|7.75|7.75|0|2.33|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|267157|SR-Synchronized Replication|1|1|0|1|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|267289|TQ-Queue table enqueue (TM contention)|261|261|0|189|0|.11|06-OCT-14 08.00.00.000000 AM
37|1|2|266637|JI-Materialized View|21.31|13.25|8.06|21.06|51.94|2211.7|06-OCT-14 08.00.00.000000 AM
37|1|2|266650|TO-Temp Object|13857.13|13857.13|0|1170.94|.25|.29|06-OCT-14 08.00.00.000000 AM
37|1|2|266653|CO-KTUCLO Master Slave enq (master slave det)|2389.53|0|2389.53|2389.4|.07|.09|06-OCT-14 08.00.00.000000 AM
37|1|2|266657|UL-User-defined|303.94|303.94|0|208.19|0|.34|06-OCT-14 08.00.00.000000 AM
37|1|2|266658|CR-Reuse Block Range (block range reuse ckpt)|11880.31|11880.31|0|250.75|0|.31|06-OCT-14 08.00.00.000000 AM
37|1|2|266659|US-Undo Segment|2792.5|2792.5|0|2609.5|.63|.28|06-OCT-14 08.00.00.000000 AM
37|1|2|267323|JS-Job Scheduler (queue lock)|1053395.67|1053395.33|0|38785|783|33.6|06-OCT-14 08.00.00.000000 AM
37|1|2|266662|XL-ASM Extent Fault Lock (fault extent map)|3|3|0|1|0|60|06-OCT-14 08.00.00.000000 AM
37|1|2|266636|KO-Multiple Object Checkpoint (fast object checkpoint)|82137.5|82137.5|0|37702.38|126.63|3.25|06-OCT-14 08.00.00.000000 AM
37|1|2|266638|WF-AWR Flush|42.38|42.38|0|41.5|18.19|435.5|06-OCT-14 08.00.00.000000 AM
37|1|2|266648|FB-Format Block|2763.63|2763.63|0|2565.5|1.06|.32|06-OCT-14 08.00.00.000000 AM
37|1|2|266665|AE-Edition Lock (lock)|1092.67|1092.67|0|10|0|.29|06-OCT-14 08.00.00.000000 AM
37|1|2|267324|JS-Job Scheduler (q mem clnup lck)|95433|95433.5|0|2931|178|60.88|06-OCT-14 08.00.00.000000 AM
37|1|2|267325|JS-Job Scheduler|1564215|1564215|0|6|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266649|TX-Transaction (index contention)|1454.5|1454.5|0|1443.63|1.25|.95|06-OCT-14 08.00.00.000000 AM
37|1|2|266655|JQ-Job Queue|25.19|14.88|10.31|24.19|0|.53|06-OCT-14 08.00.00.000000 AM
37|1|2|267983|CU-Cursor|13715|13715|0|1|0|20|06-OCT-14 08.00.00.000000 AM
37|1|2|266647|TT-Tablespace|32448.38|32448.38|0|4176.94|1.19|.31|06-OCT-14 08.00.00.000000 AM
37|1|2|266652|TA-Instance Undo|47.75|47.75|0|44.81|0|.42|06-OCT-14 08.00.00.000000 AM
