site_id|config_id|run_id|stat_id|stat_name|stat_value|start_time
37|1|2|265430|Buffer  Hit   %|95.03|06-OCT-14 08.00.00.000000 AM
37|1|2|265435|Latch Hit %|99.82|06-OCT-14 08.00.00.000000 AM
37|1|2|265431|In-memory Sort %|100|06-OCT-14 08.00.00.000000 AM
37|1|2|265436|Parse CPU to Parse Elapsd %|80.11|06-OCT-14 08.00.00.000000 AM
37|1|2|265428|Buffer Nowait %|99.96|06-OCT-14 08.00.00.000000 AM
37|1|2|265432|Library Hit   %|99.99|06-OCT-14 08.00.00.000000 AM
37|1|2|265437|% Non-Parse CPU|99.31|06-OCT-14 08.00.00.000000 AM
37|1|2|265433|Soft Parse %|99.86|06-OCT-14 08.00.00.000000 AM
37|1|2|265429|Redo NoWait %|100|06-OCT-14 08.00.00.000000 AM
37|1|2|265434|Execute to Parse %|79.44|06-OCT-14 08.00.00.000000 AM
37|1|1|265433|Soft Parse %|99.83|03-OCT-14 08.00.00.000000 AM
37|1|1|265435|Latch Hit %|99.42|03-OCT-14 08.00.00.000000 AM
37|1|1|265436|Parse CPU to Parse Elapsd %|81.74|03-OCT-14 08.00.00.000000 AM
37|1|1|265434|Execute to Parse %|80.87|03-OCT-14 08.00.00.000000 AM
37|1|1|265431|In-memory Sort %|100|03-OCT-14 08.00.00.000000 AM
37|1|1|265428|Buffer Nowait %|99.92|03-OCT-14 08.00.00.000000 AM
37|1|1|265429|Redo NoWait %|100|03-OCT-14 08.00.00.000000 AM
37|1|1|265430|Buffer  Hit   %|94.89|03-OCT-14 08.00.00.000000 AM
37|1|1|265432|Library Hit   %|99.99|03-OCT-14 08.00.00.000000 AM
37|1|1|265437|% Non-Parse CPU|99.38|03-OCT-14 08.00.00.000000 AM
37|1|6|265437|% Non-Parse CPU|99.38|10-OCT-14 08.00.00.000000 AM
37|1|6|265434|Execute to Parse %|81.67|10-OCT-14 08.00.00.000000 AM
37|1|6|265430|Buffer  Hit   %|95.69|10-OCT-14 08.00.00.000000 AM
37|1|6|265431|In-memory Sort %|100|10-OCT-14 08.00.00.000000 AM
37|1|6|265432|Library Hit   %|99.99|10-OCT-14 08.00.00.000000 AM
37|1|6|265433|Soft Parse %|99.84|10-OCT-14 08.00.00.000000 AM
37|1|6|265428|Buffer Nowait %|99.97|10-OCT-14 08.00.00.000000 AM
37|1|6|265429|Redo NoWait %|100|10-OCT-14 08.00.00.000000 AM
37|1|6|265435|Latch Hit %|99.65|10-OCT-14 08.00.00.000000 AM
37|1|6|265436|Parse CPU to Parse Elapsd %|82.72|10-OCT-14 08.00.00.000000 AM
37|1|3|265428|Buffer Nowait %|99.97|07-OCT-14 08.00.00.000000 AM
37|1|3|265435|Latch Hit %|99.73|07-OCT-14 08.00.00.000000 AM
37|1|3|265432|Library Hit   %|99.99|07-OCT-14 08.00.00.000000 AM
37|1|3|265433|Soft Parse %|99.85|07-OCT-14 08.00.00.000000 AM
37|1|3|265436|Parse CPU to Parse Elapsd %|82.38|07-OCT-14 08.00.00.000000 AM
37|1|3|265429|Redo NoWait %|100|07-OCT-14 08.00.00.000000 AM
37|1|3|265434|Execute to Parse %|81.52|07-OCT-14 08.00.00.000000 AM
37|1|3|265431|In-memory Sort %|100|07-OCT-14 08.00.00.000000 AM
37|1|3|265437|% Non-Parse CPU|99.39|07-OCT-14 08.00.00.000000 AM
37|1|3|265430|Buffer  Hit   %|96.01|07-OCT-14 08.00.00.000000 AM
37|1|5|265428|Buffer Nowait %|99.96|09-OCT-14 08.00.00.000000 AM
37|1|5|265430|Buffer  Hit   %|95.34|09-OCT-14 08.00.00.000000 AM
37|1|5|265432|Library Hit   %|99.99|09-OCT-14 08.00.00.000000 AM
37|1|5|265431|In-memory Sort %|100|09-OCT-14 08.00.00.000000 AM
37|1|5|265434|Execute to Parse %|81.53|09-OCT-14 08.00.00.000000 AM
37|1|5|265429|Redo NoWait %|100|09-OCT-14 08.00.00.000000 AM
37|1|5|265433|Soft Parse %|99.84|09-OCT-14 08.00.00.000000 AM
37|1|5|265436|Parse CPU to Parse Elapsd %|83.95|09-OCT-14 08.00.00.000000 AM
37|1|5|265435|Latch Hit %|99.87|09-OCT-14 08.00.00.000000 AM
37|1|5|265437|% Non-Parse CPU|99.39|09-OCT-14 08.00.00.000000 AM
37|1|4|265428|Buffer Nowait %|99.97|08-OCT-14 08.00.00.000000 AM
37|1|4|265429|Redo NoWait %|100|08-OCT-14 08.00.00.000000 AM
37|1|4|265431|In-memory Sort %|100|08-OCT-14 08.00.00.000000 AM
37|1|4|265434|Execute to Parse %|81.52|08-OCT-14 08.00.00.000000 AM
37|1|4|265435|Latch Hit %|99.71|08-OCT-14 08.00.00.000000 AM
37|1|4|265430|Buffer  Hit   %|97.02|08-OCT-14 08.00.00.000000 AM
37|1|4|265436|Parse CPU to Parse Elapsd %|80.07|08-OCT-14 08.00.00.000000 AM
37|1|4|265432|Library Hit   %|99.99|08-OCT-14 08.00.00.000000 AM
37|1|4|265433|Soft Parse %|99.84|08-OCT-14 08.00.00.000000 AM
37|1|4|265437|% Non-Parse CPU|99.36|08-OCT-14 08.00.00.000000 AM
37|1|7|265429|Redo NoWait %|100|13-OCT-14 08.00.00.000000 AM
37|1|7|265435|Latch Hit %|99.66|13-OCT-14 08.00.00.000000 AM
37|1|7|265431|In-memory Sort %|100|13-OCT-14 08.00.00.000000 AM
37|1|7|265432|Library Hit   %|99.99|13-OCT-14 08.00.00.000000 AM
37|1|7|265433|Soft Parse %|99.88|13-OCT-14 08.00.00.000000 AM
37|1|7|265428|Buffer Nowait %|99.96|13-OCT-14 08.00.00.000000 AM
37|1|7|265437|% Non-Parse CPU|99.38|13-OCT-14 08.00.00.000000 AM
37|1|7|265434|Execute to Parse %|80.46|13-OCT-14 08.00.00.000000 AM
37|1|7|265436|Parse CPU to Parse Elapsd %|83.43|13-OCT-14 08.00.00.000000 AM
37|1|7|265430|Buffer  Hit   %|95.79|13-OCT-14 08.00.00.000000 AM
37|1|11|265432|Library Hit   %|99.99|17-OCT-14 08.00.00.000000 AM
37|1|11|265429|Redo NoWait %|100|17-OCT-14 08.00.00.000000 AM
37|1|11|265433|Soft Parse %|99.87|17-OCT-14 08.00.00.000000 AM
37|1|11|265428|Buffer Nowait %|99.95|17-OCT-14 08.00.00.000000 AM
37|1|11|265435|Latch Hit %|100.04|17-OCT-14 08.00.00.000000 AM
37|1|11|265437|% Non-Parse CPU|99.41|17-OCT-14 08.00.00.000000 AM
37|1|11|265430|Buffer  Hit   %|95.22|17-OCT-14 08.00.00.000000 AM
37|1|11|265431|In-memory Sort %|100|17-OCT-14 08.00.00.000000 AM
37|1|11|265436|Parse CPU to Parse Elapsd %|87.72|17-OCT-14 08.00.00.000000 AM
37|1|11|265434|Execute to Parse %|81.66|17-OCT-14 08.00.00.000000 AM
37|1|12|265430|Buffer  Hit   %|95.59|20-OCT-14 08.00.00.000000 AM
37|1|12|265431|In-memory Sort %|100|20-OCT-14 08.00.00.000000 AM
37|1|12|265428|Buffer Nowait %|99.97|20-OCT-14 08.00.00.000000 AM
37|1|12|265437|% Non-Parse CPU|99.41|20-OCT-14 08.00.00.000000 AM
37|1|12|265435|Latch Hit %|99.85|20-OCT-14 08.00.00.000000 AM
37|1|12|265436|Parse CPU to Parse Elapsd %|88.25|20-OCT-14 08.00.00.000000 AM
37|1|12|265433|Soft Parse %|99.93|20-OCT-14 08.00.00.000000 AM
37|1|12|265432|Library Hit   %|100|20-OCT-14 08.00.00.000000 AM
37|1|12|265434|Execute to Parse %|81.49|20-OCT-14 08.00.00.000000 AM
37|1|12|265429|Redo NoWait %|100|20-OCT-14 08.00.00.000000 AM
37|1|9|265431|In-memory Sort %|100|15-OCT-14 08.00.00.000000 AM
37|1|9|265433|Soft Parse %|99.89|15-OCT-14 08.00.00.000000 AM
37|1|9|265428|Buffer Nowait %|99.97|15-OCT-14 08.00.00.000000 AM
37|1|9|265437|% Non-Parse CPU|99.38|15-OCT-14 08.00.00.000000 AM
37|1|9|265435|Latch Hit %|99.9|15-OCT-14 08.00.00.000000 AM
37|1|9|265429|Redo NoWait %|99.99|15-OCT-14 08.00.00.000000 AM
37|1|9|265432|Library Hit   %|99.99|15-OCT-14 08.00.00.000000 AM
37|1|9|265436|Parse CPU to Parse Elapsd %|84.37|15-OCT-14 08.00.00.000000 AM
37|1|9|265430|Buffer  Hit   %|96.5|15-OCT-14 08.00.00.000000 AM
37|1|9|265434|Execute to Parse %|81.17|15-OCT-14 08.00.00.000000 AM
37|1|8|265428|Buffer Nowait %|99.97|14-OCT-14 08.00.00.000000 AM
37|1|8|265429|Redo NoWait %|99.99|14-OCT-14 08.00.00.000000 AM
37|1|8|265433|Soft Parse %|99.89|14-OCT-14 08.00.00.000000 AM
37|1|8|265437|% Non-Parse CPU|99.42|14-OCT-14 08.00.00.000000 AM
37|1|8|265430|Buffer  Hit   %|96.26|14-OCT-14 08.00.00.000000 AM
37|1|8|265435|Latch Hit %|99.94|14-OCT-14 08.00.00.000000 AM
37|1|8|265436|Parse CPU to Parse Elapsd %|84.58|14-OCT-14 08.00.00.000000 AM
37|1|8|265431|In-memory Sort %|100|14-OCT-14 08.00.00.000000 AM
37|1|8|265432|Library Hit   %|99.99|14-OCT-14 08.00.00.000000 AM
37|1|8|265434|Execute to Parse %|82.2|14-OCT-14 08.00.00.000000 AM
37|1|10|265428|Buffer Nowait %|99.97|16-OCT-14 08.00.00.000000 AM
37|1|10|265430|Buffer  Hit   %|95.94|16-OCT-14 08.00.00.000000 AM
37|1|10|265429|Redo NoWait %|100|16-OCT-14 08.00.00.000000 AM
37|1|10|265434|Execute to Parse %|81.42|16-OCT-14 08.00.00.000000 AM
37|1|10|265435|Latch Hit %|100.09|16-OCT-14 08.00.00.000000 AM
37|1|10|265432|Library Hit   %|22.58|16-OCT-14 08.00.00.000000 AM
37|1|10|265431|In-memory Sort %|100|16-OCT-14 08.00.00.000000 AM
37|1|10|265433|Soft Parse %|99.9|16-OCT-14 08.00.00.000000 AM
37|1|10|265436|Parse CPU to Parse Elapsd %|87.56|16-OCT-14 08.00.00.000000 AM
37|1|10|265437|% Non-Parse CPU|99.4|16-OCT-14 08.00.00.000000 AM
37|1|17|265428|Buffer Nowait %|99.96|27-OCT-14 08.00.00.000000 AM
37|1|17|265429|Redo NoWait %|100|27-OCT-14 08.00.00.000000 AM
37|1|17|265437|% Non-Parse CPU|99.41|27-OCT-14 08.00.00.000000 AM
37|1|17|265430|Buffer  Hit   %|95.77|27-OCT-14 08.00.00.000000 AM
37|1|17|265431|In-memory Sort %|100|27-OCT-14 08.00.00.000000 AM
37|1|17|265435|Latch Hit %|99.85|27-OCT-14 08.00.00.000000 AM
37|1|17|265433|Soft Parse %|99.89|27-OCT-14 08.00.00.000000 AM
37|1|17|265434|Execute to Parse %|81.24|27-OCT-14 08.00.00.000000 AM
37|1|17|265432|Library Hit   %|100|27-OCT-14 08.00.00.000000 AM
37|1|17|265436|Parse CPU to Parse Elapsd %|81.7|27-OCT-14 08.00.00.000000 AM
37|1|16|265431|In-memory Sort %|100|24-OCT-14 08.00.00.000000 AM
37|1|16|265435|Latch Hit %|99.85|24-OCT-14 08.00.00.000000 AM
37|1|16|265436|Parse CPU to Parse Elapsd %|86.79|24-OCT-14 08.00.00.000000 AM
37|1|16|265429|Redo NoWait %|100|24-OCT-14 08.00.00.000000 AM
37|1|16|265432|Library Hit   %|99.99|24-OCT-14 08.00.00.000000 AM
37|1|16|265430|Buffer  Hit   %|95.32|24-OCT-14 08.00.00.000000 AM
37|1|16|265428|Buffer Nowait %|99.96|24-OCT-14 08.00.00.000000 AM
37|1|16|265437|% Non-Parse CPU|99.41|24-OCT-14 08.00.00.000000 AM
37|1|16|265433|Soft Parse %|99.9|24-OCT-14 08.00.00.000000 AM
37|1|16|265434|Execute to Parse %|81.09|24-OCT-14 08.00.00.000000 AM
37|1|13|265428|Buffer Nowait %|99.97|21-OCT-14 08.00.00.000000 AM
37|1|13|265433|Soft Parse %|99.9|21-OCT-14 08.00.00.000000 AM
37|1|13|265431|In-memory Sort %|100|21-OCT-14 08.00.00.000000 AM
37|1|13|265429|Redo NoWait %|100|21-OCT-14 08.00.00.000000 AM
37|1|13|265430|Buffer  Hit   %|96.17|21-OCT-14 08.00.00.000000 AM
37|1|13|265435|Latch Hit %|99.85|21-OCT-14 08.00.00.000000 AM
37|1|13|265436|Parse CPU to Parse Elapsd %|86.45|21-OCT-14 08.00.00.000000 AM
37|1|13|265432|Library Hit   %|99.99|21-OCT-14 08.00.00.000000 AM
37|1|13|265434|Execute to Parse %|81.76|21-OCT-14 08.00.00.000000 AM
37|1|13|265437|% Non-Parse CPU|99.41|21-OCT-14 08.00.00.000000 AM
37|1|14|265435|Latch Hit %|99.86|22-OCT-14 08.00.00.000000 AM
37|1|14|265430|Buffer  Hit   %|95.9|22-OCT-14 08.00.00.000000 AM
37|1|14|265431|In-memory Sort %|100|22-OCT-14 08.00.00.000000 AM
37|1|14|265434|Execute to Parse %|81.96|22-OCT-14 08.00.00.000000 AM
37|1|14|265428|Buffer Nowait %|99.97|22-OCT-14 08.00.00.000000 AM
37|1|14|265429|Redo NoWait %|100|22-OCT-14 08.00.00.000000 AM
37|1|14|265437|% Non-Parse CPU|99.41|22-OCT-14 08.00.00.000000 AM
37|1|14|265432|Library Hit   %|100|22-OCT-14 08.00.00.000000 AM
37|1|14|265433|Soft Parse %|99.91|22-OCT-14 08.00.00.000000 AM
37|1|14|265436|Parse CPU to Parse Elapsd %|84.38|22-OCT-14 08.00.00.000000 AM
37|1|15|265434|Execute to Parse %|80.89|23-OCT-14 08.00.00.000000 AM
37|1|15|265435|Latch Hit %|99.84|23-OCT-14 08.00.00.000000 AM
37|1|15|265432|Library Hit   %|100|23-OCT-14 08.00.00.000000 AM
37|1|15|265437|% Non-Parse CPU|99.38|23-OCT-14 08.00.00.000000 AM
37|1|15|265433|Soft Parse %|99.9|23-OCT-14 08.00.00.000000 AM
37|1|15|265429|Redo NoWait %|100|23-OCT-14 08.00.00.000000 AM
37|1|15|265430|Buffer  Hit   %|95.15|23-OCT-14 08.00.00.000000 AM
37|1|15|265431|In-memory Sort %|100|23-OCT-14 08.00.00.000000 AM
37|1|15|265428|Buffer Nowait %|99.97|23-OCT-14 08.00.00.000000 AM
37|1|15|265436|Parse CPU to Parse Elapsd %|80.19|23-OCT-14 08.00.00.000000 AM
37|1|21|265431|In-memory Sort %|100|31-OCT-14 08.00.00.000000 AM
37|1|21|265434|Execute to Parse %|81.73|31-OCT-14 08.00.00.000000 AM
37|1|21|265428|Buffer Nowait %|99.97|31-OCT-14 08.00.00.000000 AM
37|1|21|265435|Latch Hit %|99.69|31-OCT-14 08.00.00.000000 AM
37|1|21|265432|Library Hit   %|99.99|31-OCT-14 08.00.00.000000 AM
37|1|21|265436|Parse CPU to Parse Elapsd %|74.03|31-OCT-14 08.00.00.000000 AM
37|1|21|265437|% Non-Parse CPU|99.38|31-OCT-14 08.00.00.000000 AM
37|1|21|265433|Soft Parse %|99.88|31-OCT-14 08.00.00.000000 AM
37|1|21|265430|Buffer  Hit   %|95.3|31-OCT-14 08.00.00.000000 AM
37|1|21|265429|Redo NoWait %|100|31-OCT-14 08.00.00.000000 AM
37|1|19|265433|Soft Parse %|99.87|29-OCT-14 08.00.00.000000 AM
37|1|19|265428|Buffer Nowait %|99.95|29-OCT-14 08.00.00.000000 AM
37|1|19|265435|Latch Hit %|99.84|29-OCT-14 08.00.00.000000 AM
37|1|19|265432|Library Hit   %|99.99|29-OCT-14 08.00.00.000000 AM
37|1|19|265436|Parse CPU to Parse Elapsd %|73.55|29-OCT-14 08.00.00.000000 AM
37|1|19|265437|% Non-Parse CPU|99.38|29-OCT-14 08.00.00.000000 AM
37|1|19|265429|Redo NoWait %|100|29-OCT-14 08.00.00.000000 AM
37|1|19|265430|Buffer  Hit   %|96.08|29-OCT-14 08.00.00.000000 AM
37|1|19|265431|In-memory Sort %|100|29-OCT-14 08.00.00.000000 AM
37|1|19|265434|Execute to Parse %|81.4|29-OCT-14 08.00.00.000000 AM
37|1|18|265429|Redo NoWait %|100|28-OCT-14 08.00.00.000000 AM
37|1|18|265430|Buffer  Hit   %|95.9|28-OCT-14 08.00.00.000000 AM
37|1|18|265437|% Non-Parse CPU|99.4|28-OCT-14 08.00.00.000000 AM
37|1|18|265431|In-memory Sort %|100|28-OCT-14 08.00.00.000000 AM
37|1|18|265432|Library Hit   %|99.99|28-OCT-14 08.00.00.000000 AM
37|1|18|265436|Parse CPU to Parse Elapsd %|77.58|28-OCT-14 08.00.00.000000 AM
37|1|18|265428|Buffer Nowait %|99.96|28-OCT-14 08.00.00.000000 AM
37|1|18|265435|Latch Hit %|99.84|28-OCT-14 08.00.00.000000 AM
37|1|18|265433|Soft Parse %|99.87|28-OCT-14 08.00.00.000000 AM
37|1|18|265434|Execute to Parse %|81.42|28-OCT-14 08.00.00.000000 AM
37|1|20|265428|Buffer Nowait %|99.97|30-OCT-14 08.00.00.000000 AM
37|1|20|265437|% Non-Parse CPU|99.41|30-OCT-14 08.00.00.000000 AM
37|1|20|265429|Redo NoWait %|99.99|30-OCT-14 08.00.00.000000 AM
37|1|20|265431|In-memory Sort %|100|30-OCT-14 08.00.00.000000 AM
37|1|20|265434|Execute to Parse %|81.71|30-OCT-14 08.00.00.000000 AM
37|1|20|265435|Latch Hit %|99.81|30-OCT-14 08.00.00.000000 AM
37|1|20|265432|Library Hit   %|99.99|30-OCT-14 08.00.00.000000 AM
37|1|20|265433|Soft Parse %|99.88|30-OCT-14 08.00.00.000000 AM
37|1|20|265430|Buffer  Hit   %|95.84|30-OCT-14 08.00.00.000000 AM
