site_id|config_id|run_id|stat_id|stat_name|stat_read_data|stat_req_per_sec_r|stat_data_per_sec_r|stat_write_data|stat_req_per_sec_w|stat_data_per_sec_w|stat_sm_rd|stat_lg_rd|start_time
37|1|2|266310|TOTAL|213750000000|11999.62|2232413.54|11093125000|1350.29|1577656.25|2.59|236.924|06-OCT-14 08.00.00.000000 AM
37|1|2|266309|Control File|819375000|32.37|116475|63900000|5.68|8862.5|.15|4.579|06-OCT-14 08.00.00.000000 AM
37|1|2|266305|Data File|207500000000|11956.56|304.42|4863125000|745.89|691531.25|2.59|243.623|06-OCT-14 08.00.00.000000 AM
37|1|2|266306|Log File|1846875000|2.65|262837.5|3633125000|580.56|516831.25|3.76|12.804|06-OCT-14 08.00.00.000000 AM
37|1|2|266307|Archive Log|1826875000|2.6|259825|1801250000|2.56|256368.75|.63|86.895|06-OCT-14 08.00.00.000000 AM
37|1|2|266308|Temp File|34381250|5.44|4775|731875000|15.59|104050|.3|8.59|06-OCT-14 08.00.00.000000 AM
37|1|1|266306|Log File|1408750000|2.02|200200|2829375000|477.33|401787.5|3.44|11.425|03-OCT-14 08.00.00.000000 AM
37|1|1|266308|Temp File|25431250|3.94|3525|539375000|11.44|76693.75|.27|6.55|03-OCT-14 08.00.00.000000 AM
37|1|1|266309|Control File|768125000|32.84|109162.5|65781250|5.84|9125|.17|4.175|03-OCT-14 08.00.00.000000 AM
37|1|1|266307|Archive Log|1391250000|1.98|197731.25|1408750000|2|200168.75|.4|79.879|03-OCT-14 08.00.00.000000 AM
37|1|1|266310|TOTAL|202840000000|9447.85|10824431.67|8611875000|1065.99|1223337.5|2.68|331.048|03-OCT-14 08.00.00.000000 AM
37|1|1|266305|Data File|200726250000|9407.06|7818894.46|3771250000|569.38|535556.25|2.69|339.391|03-OCT-14 08.00.00.000000 AM
37|1|6|266309|Control File|841875000|34.53|119543.75|65781250|5.84|9131.25|.17|4.261|10-OCT-14 08.00.00.000000 AM
37|1|6|266306|Log File|1546875000|2.22|219768.75|3155000000|516.72|448162.5|3.01|12.123|10-OCT-14 08.00.00.000000 AM
37|1|6|268724|Other|0|0|0|0|0|0|1.25||10-OCT-14 08.00.00.000000 AM
37|1|6|266305|Data File|192093125000|10055.41|868081.77|4281875000|645.14|608600|4|322.524|10-OCT-14 08.00.00.000000 AM
37|1|6|266308|Temp File|25918750|4.08|3606.25|583750000|12.44|82937.5|.27|7.66|10-OCT-14 08.00.00.000000 AM
37|1|6|266310|TOTAL|197055000000|10098.44|5323917.85|9629375000|1182.34|1368568.75|3.98|313.914|10-OCT-14 08.00.00.000000 AM
37|1|6|266307|Archive Log|1549375000|2.2|220243.75|1546250000|2.2|219743.75|.28|87.018|10-OCT-14 08.00.00.000000 AM
37|1|3|266305|Data File|195470000000|10704.85|3269125.73|4787500000|728.91|680837.5|3.73|281.268|07-OCT-14 08.00.00.000000 AM
37|1|3|266307|Archive Log|1753125000|2.5|249406.25|1750000000|2.49|249056.25|.4|79.278|07-OCT-14 08.00.00.000000 AM
37|1|3|266306|Log File|1750000000|2.52|249050|3512500000|553.74|499593.75|3.11|12.71|07-OCT-14 08.00.00.000000 AM
37|1|3|266310|TOTAL|200290625000|10747.66|1596336.19|10821875000|1305.71|1539568.75|3.72|273.73|07-OCT-14 08.00.00.000000 AM
37|1|3|266308|Temp File|31350000|4.96|4337.5|711250000|14.88|101200|.31|8.86|07-OCT-14 08.00.00.000000 AM
37|1|3|266309|Control File|845625000|32.85|120387.5|64043750|5.7|8887.5|.15|4.826|07-OCT-14 08.00.00.000000 AM
37|1|5|266305|Data File|204515000000|11203.05|298.56|4731250000|711.58|672906.25|3.36|319.646|09-OCT-14 08.00.00.000000 AM
37|1|5|266308|Temp File|30981250|4.95|4300|678125000|14.39|96443.75|.32|8.03|09-OCT-14 08.00.00.000000 AM
37|1|5|266309|Control File|863125000|33.21|122643.75|64800000|5.76|9000|.13|4.756|09-OCT-14 08.00.00.000000 AM
37|1|5|266306|Log File|1805000000|2.59|256525|3622500000|546.7|515275|3.39|12.759|09-OCT-14 08.00.00.000000 AM
37|1|5|266307|Archive Log|1818125000|2.59|258575|1804375000|2.57|256506.25|2.79|94.014|09-OCT-14 08.00.00.000000 AM
37|1|5|266310|TOTAL|209375000000|11246.39|5975807.72|10900000000|1280.99|1550125|3.35|311.391|09-OCT-14 08.00.00.000000 AM
37|1|4|266305|Data File|171740000000|10077.68|749428.35|4850000000|717.44|689500|3.11|345.667|08-OCT-14 08.00.00.000000 AM
37|1|4|266306|Log File|1804375000|2.59|256506.25|3619375000|550.06|514518.75|3.44|12.594|08-OCT-14 08.00.00.000000 AM
