site_id|config_id|run_id|stat_id|stat_name|stat_read_data|stat_req_per_sec_r|stat_data_per_sec_r|stat_write_data|stat_req_per_sec_w|stat_data_per_sec_w|stat_wait_cnt|stat_avg_tm|start_time
37|1|2|266297|Direct Reads|18716875000|296.899375|2662012.5|5056250|.49125|693.75|105.8125|1.814375|06-OCT-14 08.00.00.000000 AM
37|1|2|266301|LGWR|262500|.030625|6.25|3639375000|580.635625|517412.5|1177637.5|.310625|06-OCT-14 08.00.00.000000 AM
37|1|2|266298|Others|4801875000|49.096875|682681.25|1915625000|14.116875|272462.5|188275|2.33625|06-OCT-14 08.00.00.000000 AM
37|1|2|266296|Buffer Cache Reads|95706875000|11503.69875|136.511875|0|0|0|7058125|.354375|06-OCT-14 08.00.00.000000 AM
37|1|2|266300|DBWR|25000|.00125|0|5155625000|733.511875|733231.25|25.3125|.326875|06-OCT-14 08.00.00.000000 AM
37|1|2|266299|Smart Scan|96753125000|149.218125|3323663.904625|0|0|0|0||06-OCT-14 08.00.00.000000 AM
37|1|2|266304|TOTAL|213750000000|11999.85|2101852.415375|11122500000|1351.15375|1581806.25|7194375|.359375|06-OCT-14 08.00.00.000000 AM
37|1|2|266302|Direct Writes|58212500|.80875|8081.25|408750000|22.395625|58006.25|290.3125|3.19|06-OCT-14 08.00.00.000000 AM
37|1|2|266303|Streams AQ|586666.666666666666666666666666666666667|.096666666666666666666666666666666666667|80|0|0|0|705.466666666666666666666666666666666667|6.774|06-OCT-14 08.00.00.000000 AM
37|1|1|266296|Buffer Cache Reads|75749375000|9016.306875|1299157.1105|0|0|0|5417500|.30625|03-OCT-14 08.00.00.000000 AM
37|1|1|266298|Others|3688750000|44.561875|523931.25|1478125000|13.314375|209887.5|182706.25|1.82875|03-OCT-14 08.00.00.000000 AM
37|1|1|266299|Smart Scan|113225000000|177.325625|3334918.5539375|0|0|0|0||03-OCT-14 08.00.00.000000 AM
37|1|1|266301|LGWR|193750|.0225|0|2830000000|477.156875|402037.5|1026256.25|.20375|03-OCT-14 08.00.00.000000 AM
37|1|1|266302|Direct Writes|30168750|.38375|4187.5|326875000|10.009375|46518.75|79.6875|2.173125|03-OCT-14 08.00.00.000000 AM
37|1|1|266303|Streams AQ|13333.3333333333333333333333333333333333|.001333333333333333333333333333333333333|0|0|0|0|22.5333333333333333333333333333333333333|5.178|03-OCT-14 08.00.00.000000 AM
37|1|1|266304|TOTAL|202802500000|9443.68875|6250227.356|8586875000|1065.76|1219700|5538125|.31125|03-OCT-14 08.00.00.000000 AM
37|1|1|266297|Direct Reads|11701875000|205.0775|1662425|3925000|.46875|537.5|86.8125|.911875|03-OCT-14 08.00.00.000000 AM
37|1|1|266300|DBWR|31250|.00125|0|3946875000|564.81|560743.75|27.125|.21375|03-OCT-14 08.00.00.000000 AM
37|1|6|266301|LGWR|237500|.02625|0|3150000000|516.030625|447650|1066656.25|.253125|10-OCT-14 08.00.00.000000 AM
37|1|6|266302|Direct Writes|57193750|.78625|7925|382500000|11.775625|54425|15.0625|1.3825|10-OCT-14 08.00.00.000000 AM
37|1|6|266304|TOTAL|197001875000|10091.6425|4843797.545125|9625000000|1181.360625|1367793.75|6215000|.34125|10-OCT-14 08.00.00.000000 AM
37|1|6|266298|Others|4416250000|51.833125|627643.75|1640625000|13.566875|233237.5|198437.5|1.86375|10-OCT-14 08.00.00.000000 AM
37|1|6|266300|DBWR|12500|.004375|0|4446250000|639.601875|631937.5|29.9375|.53875|10-OCT-14 08.00.00.000000 AM
37|1|6|266303|Streams AQ|13333.3333333333333333333333333333333333|0|0|0|0|0|12.5333333333333333333333333333333333333|6.236|10-OCT-14 08.00.00.000000 AM
37|1|6|266296|Buffer Cache Reads|72832500000|9594.16125|2391554.590375|0|0|0|6088750|.336875|10-OCT-14 08.00.00.000000 AM
37|1|6|266297|Direct Reads|15856875000|283.625625|2253368.75|3887500|.384375|531.25|90.6875|1.38|10-OCT-14 08.00.00.000000 AM
37|1|6|266299|Smart Scan|104678750000|161.204375|221030.1268125|0|0|0|0||10-OCT-14 08.00.00.000000 AM
37|1|3|266296|Buffer Cache Reads|79216875000|10195.928125|703668.1624375|0|0|0|6400000|.405625|07-OCT-14 08.00.00.000000 AM
37|1|3|266299|Smart Scan|97471875000|149.215|178383.0090625|0|0|0|0||07-OCT-14 08.00.00.000000 AM
37|1|3|266297|Direct Reads|20045000000|342.6|2851862.5|5043750|.56625|712.5|113.5|1.38125|07-OCT-14 08.00.00.000000 AM
37|1|3|266302|Direct Writes|81543750|1.195625|11325|425000000|22.65|60568.75|26.6875|8.941875|07-OCT-14 08.00.00.000000 AM
37|1|3|266303|Streams AQ|21428.5714285714285714285714285714285714|.002142857142857142857142857142857142857|0|0|0|0|22.5714285714285714285714285714285714286|4.89071428571428571428571428571428571429|07-OCT-14 08.00.00.000000 AM
37|1|3|266304|TOTAL|200277500000|10741.714375|3964124.9544375|10820625000|1305.74875|1539356.25|6529375|.40875|07-OCT-14 08.00.00.000000 AM
37|1|3|266298|Others|5076875000|52.739375|722156.25|1844375000|14.063125|262287.5|188525|2.188125|07-OCT-14 08.00.00.000000 AM
37|1|3|266301|LGWR|256250|.03|0|3513750000|553.803125|499900|1117481.25|.314375|07-OCT-14 08.00.00.000000 AM
37|1|3|266300|DBWR|25000|.0025|0|5031250000|714.666875|715900|29.25|.34875|07-OCT-14 08.00.00.000000 AM
37|1|5|266300|DBWR|25000|.0025|0|4920625000|702.013125|699731.25|26.9375|.501875|09-OCT-14 08.00.00.000000 AM
37|1|5|266297|Direct Reads|17266875000|279.825625|2455712.5|5387500|.608125|750|117.4375|1.65125|09-OCT-14 08.00.00.000000 AM
37|1|5|266303|Streams AQ|12500|.00125|0|0|0|0|19.5|6.189375|09-OCT-14 08.00.00.000000 AM
37|1|5|266304|TOTAL|210000000000|11242.073125|304.98125|10908750000|1281.6275|1551312.5|6685000|.401875|09-OCT-14 08.00.00.000000 AM
