site_id|config_id|run_id|stat_id|stat_name|stat_read_data|stat_req_per_sec_r|stat_data_per_sec_r|stat_write_data|stat_req_per_sec_w|stat_data_per_sec_w|stat_wait_cnt|stat_avg_tm|start_time
37|1|2|266316|Others (Archive Log)|1826875000|2.6|259825|1801250000|2.56|256312.5|0||06-OCT-14 08.00.00.000000 AM
37|1|2|266318|Others (Control File)|819375000|32.34|116425|63575000|5.65|8843.75|92343.75|.585|06-OCT-14 08.00.00.000000 AM
37|1|2|266321|Smart Scan (Data File)|96750000000|149.27|3323201.45|0|0|0|0||06-OCT-14 08.00.00.000000 AM
37|1|2|266328|Direct Writes (Data File)|58331250|.81|8106.25|407500000|22.31|57856.25|289.375|3.1856|06-OCT-14 08.00.00.000000 AM
37|1|2|266331|TOTAL|214375000000|11982.12|2032727.92|11086250000|1349.37|1576856.25|7027500|.3363|06-OCT-14 08.00.00.000000 AM
37|1|2|266324|LGWR|250000|.03|0|3633125000|580.61|516887.5|252.375|.9906|06-OCT-14 08.00.00.000000 AM
37|1|2|266327|Direct Writes|58331250|.81|8106.25|407500000|22.31|57856.25|289.375|3.1856|06-OCT-14 08.00.00.000000 AM
37|1|2|266330|Streams AQ (Data File)|580000|.1|73.33|0|0|0|692.133333333333333333333333333333333333|6.7347|06-OCT-14 08.00.00.000000 AM
37|1|2|266320|Smart Scan|96750000000|149.27|3323201.45|0|0|0|0||06-OCT-14 08.00.00.000000 AM
37|1|2|266325|LGWR (Log File)|0|.01|0|3633125000|580.58|516837.5|81.5|2.2344|06-OCT-14 08.00.00.000000 AM
37|1|2|266329|Streams AQ|580000|.1|73.33|0|0|0|692.133333333333333333333333333333333333|6.7347|06-OCT-14 08.00.00.000000 AM
37|1|2|266311|Buffer Cache Reads|95600000000|11486.8|802065.81|0|0|0|7013125|.3331|06-OCT-14 08.00.00.000000 AM
37|1|2|266322|DBWR|25000|0|0|5143750000|732.19|731668.75|28.8125|.3469|06-OCT-14 08.00.00.000000 AM
37|1|2|266326|LGWR (Control File)|250000|.02|0|325000|.03|25|170.875|.3938|06-OCT-14 08.00.00.000000 AM
37|1|2|266313|Direct Reads|18705000000|296.06|2660412.5|5056250|.49|700|105.5|1.8675|06-OCT-14 08.00.00.000000 AM
37|1|2|266314|Direct Reads (Data File)|18705000000|296.06|2660412.5|5056250|.49|700|105.5|1.8675|06-OCT-14 08.00.00.000000 AM
37|1|2|266315|Others|4776875000|49.06|679481.25|1896250000|13.78|269756.25|165368.75|2.0638|06-OCT-14 08.00.00.000000 AM
37|1|2|266317|Others (Log File)|1846875000|2.65|262800|0|0|0|19068.75|12.7406|06-OCT-14 08.00.00.000000 AM
37|1|2|266319|Others (Data File)|283750000|11.47|40437.5|33175000|5.56|4612.5|53981.25|.7231|06-OCT-14 08.00.00.000000 AM
37|1|2|266323|DBWR (Data File)|25000|0|0|5143750000|732.19|731668.75|28.8125|.3469|06-OCT-14 08.00.00.000000 AM
37|1|2|266312|Buffer Cache Reads (Data File)|95600000000|11486.8|802065.81|0|0|0|7013125|.3331|06-OCT-14 08.00.00.000000 AM
37|1|1|266315|Others|3709375000|44.6|526962.5|1506250000|13.37|213887.5|162225|1.6256|03-OCT-14 08.00.00.000000 AM
37|1|1|266316|Others (Archive Log)|1391250000|1.98|197750|1408750000|2|200200|0||03-OCT-14 08.00.00.000000 AM
37|1|1|266322|DBWR|31250|0|0|3943750000|564.49|560362.5|27.125|.2138|03-OCT-14 08.00.00.000000 AM
37|1|1|266327|Direct Writes|30100000|.38|4175|326875000|9.99|46456.25|80.25|2.2488|03-OCT-14 08.00.00.000000 AM
37|1|1|266329|Streams AQ|13333.3333333333333333333333333333333333|0|0|0|0|0|22.4|5.1907|03-OCT-14 08.00.00.000000 AM
37|1|1|266330|Streams AQ (Data File)|13333.3333333333333333333333333333333333|0|0|0|0|0|22.4|5.1907|03-OCT-14 08.00.00.000000 AM
37|1|1|266317|Others (Log File)|1408750000|2.02|200200|0|0|0|14556.25|11.365|03-OCT-14 08.00.00.000000 AM
37|1|1|266323|DBWR (Data File)|31250|0|0|3943750000|564.49|560362.5|27.125|.2138|03-OCT-14 08.00.00.000000 AM
37|1|1|266313|Direct Reads|11682500000|204.91|1659575|3943750|.47|543.75|86.5625|.9213|03-OCT-14 08.00.00.000000 AM
37|1|1|266314|Direct Reads (Data File)|11682500000|204.91|1659575|3943750|.47|543.75|86.5625|.9213|03-OCT-14 08.00.00.000000 AM
37|1|1|266318|Others (Control File)|768125000|32.82|109131.25|65550000|5.82|9093.75|93837.5|.5863|03-OCT-14 08.00.00.000000 AM
37|1|1|266320|Smart Scan|113221875000|177.35|3334456.08|0|0|0|0||03-OCT-14 08.00.00.000000 AM
37|1|1|266325|LGWR (Log File)|0|0|0|2829375000|477.32|401781.25|64.5|2.8719|03-OCT-14 08.00.00.000000 AM
