site_id|config_id|run_id|stat_id|stat_name|stat_rw_persec|stat_r_persec|stat_w_persec|start_time
37|1|2|265452|Redo Requests|583.225|2.65|580.56875|06-OCT-14 08.00.00.000000 AM
37|1|2|265453|Total (MB)|326.78125|310.95|15.81875|06-OCT-14 08.00.00.000000 AM
37|1|2|265450|Database Requests|12728.43125|11967.63125|760.8125|06-OCT-14 08.00.00.000000 AM
37|1|2|265459|Direct (blocks)|21579.49375|21499.79375|79.71875|06-OCT-14 08.00.00.000000 AM
37|1|2|265449|Total Requests|13358.13125|12006.73125|1351.375|06-OCT-14 08.00.00.000000 AM
37|1|2|265451|Optimized Requests|11913.25625|11913.25625|0|06-OCT-14 08.00.00.000000 AM
37|1|2|265457|Database (blocks)|39996.60625|38978.14375|1018.45625|06-OCT-14 08.00.00.000000 AM
37|1|2|265458|Via Buffer Cache (blocks)|18417.10625|17478.36875|938.75|06-OCT-14 08.00.00.000000 AM
37|1|2|265454|Database (MB)|312.46875|304.53125|7.95625|06-OCT-14 08.00.00.000000 AM
37|1|2|265456|Redo (MB)|7.8|2.6375|5.175|06-OCT-14 08.00.00.000000 AM
37|1|2|265455|Optimized Total (MB)|284.36875|284.36875|0|06-OCT-14 08.00.00.000000 AM
37|1|1|265450|Database Requests|9989.2625|9409.7375|579.5375|03-OCT-14 08.00.00.000000 AM
37|1|1|265455|Optimized Total (MB)|247.3625|247.3625|0|03-OCT-14 08.00.00.000000 AM
37|1|1|265457|Database (blocks)|37762.36875|36979.83125|782.5375|03-OCT-14 08.00.00.000000 AM
37|1|1|265451|Optimized Requests|9346.36875|9346.36875|0|03-OCT-14 08.00.00.000000 AM
37|1|1|265453|Total (MB)|306.1625|293.975|12.2|03-OCT-14 08.00.00.000000 AM
37|1|1|265458|Via Buffer Cache (blocks)|14494.10625|13776.24375|717.85|03-OCT-14 08.00.00.000000 AM
37|1|1|265456|Redo (MB)|6.025|2|4.01875|03-OCT-14 08.00.00.000000 AM
37|1|1|265449|Total Requests|10513.96875|9448.11875|1065.8625|03-OCT-14 08.00.00.000000 AM
37|1|1|265459|Direct (blocks)|23268.26875|23203.575|64.69375|03-OCT-14 08.00.00.000000 AM
37|1|1|265452|Redo Requests|479.34375|2.03125|477.34375|03-OCT-14 08.00.00.000000 AM
37|1|1|265454|Database (MB)|295.01875|288.9125|6.11875|03-OCT-14 08.00.00.000000 AM
37|1|6|265451|Optimized Requests|10000.7|10000.7|0|10-OCT-14 08.00.00.000000 AM
37|1|6|265458|Via Buffer Cache (blocks)|14060.1625|13251.1375|809.0375|10-OCT-14 08.00.00.000000 AM
37|1|6|265450|Database Requests|10711.95625|10055.94375|656.0125|10-OCT-14 08.00.00.000000 AM
