site_id|config_id|run_id|stat_id|stat_name|stat_get_req|stat_miss|stat_sleep|stat_pin_get|start_time
37|1|1|266764|KJC message pool free list|510452266|2232092|57157|2175625|03-OCT-14 08.00.00.000000 AM
37|1|1|266830|channel operations parent latch|17822570010|14851723|125005|14738039|03-OCT-14 08.00.00.000000 AM
37|1|1|266832|client/application info|149409011|17155|1899|15267|03-OCT-14 08.00.00.000000 AM
37|1|1|266879|ges resource hash list|565974852|1293017|246705|1051799|03-OCT-14 08.00.00.000000 AM
37|1|1|266882|ges timeout list|7186253|7122|331|6793|03-OCT-14 08.00.00.000000 AM
37|1|1|266895|io pool granule list|9670830|1779|23|1757|03-OCT-14 08.00.00.000000 AM
37|1|1|266973|redo writing|70347009|26350|586|25766|03-OCT-14 08.00.00.000000 AM
37|1|1|267006|space background task latch|37521495|6089078|645204|5444878|03-OCT-14 08.00.00.000000 AM
37|1|1|266871|ges caches resource lists|84682820|233623|8539|225201|03-OCT-14 08.00.00.000000 AM
37|1|1|266873|ges domain table|206274662|7083|57|7026|03-OCT-14 08.00.00.000000 AM
37|1|1|266874|ges enqueue table freelist|245306071|92049|1573|90481|03-OCT-14 08.00.00.000000 AM
37|1|1|266880|ges resource scan list|484234|132|10|122|03-OCT-14 08.00.00.000000 AM
37|1|1|266881|ges resource table freelist|9989065|4513|19|4494|03-OCT-14 08.00.00.000000 AM
37|1|1|266948|object queue header heap|182057644|453|284|176|03-OCT-14 08.00.00.000000 AM
37|1|1|266990|sequence cache|55114376|14076|150|13930|03-OCT-14 08.00.00.000000 AM
37|1|1|267160|gcs partitioned table hash|1257541183|2439903|7|2439866|03-OCT-14 08.00.00.000000 AM
37|1|1|266958|pesom_hash_node|10264961|2300|8|2292|03-OCT-14 08.00.00.000000 AM
37|1|1|266955|parameter table management|424172|18|2|16|03-OCT-14 08.00.00.000000 AM
37|1|1|266965|qmn task queue latch|4724|7|3|4|03-OCT-14 08.00.00.000000 AM
37|1|1|266742|FOB s.o list latch|16956562|5053131|13546|5040630|03-OCT-14 08.00.00.000000 AM
37|1|1|266774|Lsod array latch|222324|68|67|2|03-OCT-14 08.00.00.000000 AM
37|1|1|266803|SQL memory manager workarea list latch|228057127|5627|246|5382|03-OCT-14 08.00.00.000000 AM
37|1|1|266866|gcs resource hash|11679475397|5151243|105200|5049445|03-OCT-14 08.00.00.000000 AM
37|1|1|266915|ksv class latch|873484|492|90|402|03-OCT-14 08.00.00.000000 AM
37|1|1|266959|post/wait queue|117461473|308035|627|307421|03-OCT-14 08.00.00.000000 AM
37|1|1|266971|redo allocation|61811232|975048|55209|920262|03-OCT-14 08.00.00.000000 AM
37|1|1|267002|simulator hash latch|1610875278|23215|1020|22223|03-OCT-14 08.00.00.000000 AM
37|1|1|266896|io pool granule metadata list|3773694|32|6|26|03-OCT-14 08.00.00.000000 AM
