site_id|config_id|run_id|stat_id|stat_name|stat_ges_lock_req|stat_ges_pin_req|stat_ges_pin_rel|stat_ges_inval_req|stat_ges_invalid|start_time
37|1|1|266294|SUMMARY|23616|23616|23616|0|0|03-OCT-14 08.00.00.000000 AM
37|1|1|266295|TABLE/PROCEDURE|518858|576799|576799|0|0|03-OCT-14 08.00.00.000000 AM
37|1|1|266291|ACCOUNT_STATUS|65338|0|0|0|0|03-OCT-14 08.00.00.000000 AM
37|1|1|267335|BODY|322|322|322|0|0|03-OCT-14 08.00.00.000000 AM
37|1|1|267310|CLUSTER|50|50|50|0|0|03-OCT-14 08.00.00.000000 AM
37|1|1|266292|INDEX|29805|29805|29805|0|0|03-OCT-14 08.00.00.000000 AM
37|1|1|266293|QUEUE|907|23747|23747|0|0|03-OCT-14 08.00.00.000000 AM
37|1|2|267310|CLUSTER|58|58|58|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266294|SUMMARY|26208|26208|26208|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266291|ACCOUNT_STATUS|21276|0|0|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266293|QUEUE|1035|24514|24514|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266295|TABLE/PROCEDURE|557281|620344|620344|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|267920|SUBSCRIPTION|0|192|192|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|267335|BODY|426|426|426|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|267919|LOCATION|0|34|34|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266292|INDEX|30523|30524|30524|0|0|06-OCT-14 08.00.00.000000 AM
37|1|4|266295|TABLE/PROCEDURE|572867|652574|652574|0|0|08-OCT-14 08.00.00.000000 AM
37|1|4|267310|CLUSTER|129|129|129|0|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266293|QUEUE|907|23786|23786|0|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266294|SUMMARY|30995|30995|30995|0|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266291|ACCOUNT_STATUS|19531|0|0|0|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266292|INDEX|42814|42813|42813|0|0|08-OCT-14 08.00.00.000000 AM
37|1|4|267335|BODY|269|269|269|0|0|08-OCT-14 08.00.00.000000 AM
37|1|7|266293|QUEUE|947|23834|23834|0|0|13-OCT-14 08.00.00.000000 AM
37|1|7|267335|BODY|535|535|535|0|0|13-OCT-14 08.00.00.000000 AM
37|1|7|266292|INDEX|23982|23982|23982|0|0|13-OCT-14 08.00.00.000000 AM
37|1|7|267310|CLUSTER|2|2|2|0|0|13-OCT-14 08.00.00.000000 AM
37|1|7|269057|HINTSET OBJECT|9|9|9|0|0|13-OCT-14 08.00.00.000000 AM
37|1|7|266294|SUMMARY|22635|22635|22635|0|0|13-OCT-14 08.00.00.000000 AM
37|1|7|266295|TABLE/PROCEDURE|534539|607198|607198|0|0|13-OCT-14 08.00.00.000000 AM
37|1|7|266291|ACCOUNT_STATUS|19325|0|0|0|0|13-OCT-14 08.00.00.000000 AM
37|1|6|266293|QUEUE|906|23815|23815|0|0|10-OCT-14 08.00.00.000000 AM
37|1|6|267310|CLUSTER|113|113|113|0|0|10-OCT-14 08.00.00.000000 AM
37|1|6|266294|SUMMARY|26274|26274|26274|0|0|10-OCT-14 08.00.00.000000 AM
37|1|6|266292|INDEX|37567|37567|37567|0|0|10-OCT-14 08.00.00.000000 AM
37|1|6|266295|TABLE/PROCEDURE|545295|614115|614115|0|0|10-OCT-14 08.00.00.000000 AM
37|1|6|267335|BODY|224|224|224|0|0|10-OCT-14 08.00.00.000000 AM
37|1|6|266291|ACCOUNT_STATUS|19459|0|0|0|0|10-OCT-14 08.00.00.000000 AM
37|1|5|266292|INDEX|39012|39012|39012|0|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266294|SUMMARY|29845|29845|29845|0|0|09-OCT-14 08.00.00.000000 AM
37|1|5|267335|BODY|362|362|362|0|0|09-OCT-14 08.00.00.000000 AM
37|1|3|266292|INDEX|35009|35010|35010|0|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266293|QUEUE|905|23752|23752|0|0|07-OCT-14 08.00.00.000000 AM
37|1|3|267310|CLUSTER|55|55|55|0|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266294|SUMMARY|27076|27076|27076|0|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266295|TABLE/PROCEDURE|532267|597615|597615|0|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266291|ACCOUNT_STATUS|30805|0|0|0|0|07-OCT-14 08.00.00.000000 AM
37|1|3|267335|BODY|320|320|320|0|0|07-OCT-14 08.00.00.000000 AM
37|1|5|266295|TABLE/PROCEDURE|572924|647058|647058|0|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266291|ACCOUNT_STATUS|19255|0|0|0|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266293|QUEUE|906|23786|23786|0|0|09-OCT-14 08.00.00.000000 AM
37|1|5|267310|CLUSTER|118|118|118|0|0|09-OCT-14 08.00.00.000000 AM
37|1|11|266293|QUEUE|892|22231|22231|0|0|17-OCT-14 08.00.00.000000 AM
37|1|11|266295|TABLE/PROCEDURE|515741|580143|580143|0|0|17-OCT-14 08.00.00.000000 AM
37|1|11|266294|SUMMARY|22626|22626|22626|0|0|17-OCT-14 08.00.00.000000 AM
37|1|11|267335|BODY|122|122|122|0|0|17-OCT-14 08.00.00.000000 AM
37|1|11|267310|CLUSTER|18|18|18|0|0|17-OCT-14 08.00.00.000000 AM
37|1|11|266291|ACCOUNT_STATUS|18792|0|0|0|0|17-OCT-14 08.00.00.000000 AM
37|1|11|266292|INDEX|20261|20261|20261|0|0|17-OCT-14 08.00.00.000000 AM
37|1|12|269373|TRIGGER|0|369|369|0|0|20-OCT-14 08.00.00.000000 AM
37|1|12|267920|SUBSCRIPTION|0|286|286|0|0|20-OCT-14 08.00.00.000000 AM
37|1|12|266292|INDEX|15819|15819|15819|0|0|20-OCT-14 08.00.00.000000 AM
37|1|12|266294|SUMMARY|20464|20464|20464|0|0|20-OCT-14 08.00.00.000000 AM
37|1|12|267335|BODY|0|21380097|21380097|0|0|20-OCT-14 08.00.00.000000 AM
37|1|12|267919|LOCATION|8|32|32|0|0|20-OCT-14 08.00.00.000000 AM
37|1|12|266291|ACCOUNT_STATUS|20176|0|0|0|0|20-OCT-14 08.00.00.000000 AM
37|1|12|266293|QUEUE|1038|17101|17101|0|0|20-OCT-14 08.00.00.000000 AM
37|1|12|266295|TABLE/PROCEDURE|307948|370016|370016|0|0|20-OCT-14 08.00.00.000000 AM
37|1|9|266291|ACCOUNT_STATUS|20327|0|0|0|0|15-OCT-14 08.00.00.000000 AM
37|1|9|266295|TABLE/PROCEDURE|529118|605036|605036|0|0|15-OCT-14 08.00.00.000000 AM
37|1|9|267310|CLUSTER|8|8|8|0|0|15-OCT-14 08.00.00.000000 AM
37|1|9|266294|SUMMARY|25187|25187|25187|0|0|15-OCT-14 08.00.00.000000 AM
37|1|9|267335|BODY|282|282|282|0|0|15-OCT-14 08.00.00.000000 AM
37|1|9|267920|SUBSCRIPTION|0|64|64|0|0|15-OCT-14 08.00.00.000000 AM
37|1|9|266292|INDEX|25900|25901|25901|0|0|15-OCT-14 08.00.00.000000 AM
37|1|9|266293|QUEUE|959|22597|22597|0|0|15-OCT-14 08.00.00.000000 AM
37|1|8|266292|INDEX|19623|19623|19623|0|0|14-OCT-14 08.00.00.000000 AM
37|1|8|266295|TABLE/PROCEDURE|520111|588666|588666|0|0|14-OCT-14 08.00.00.000000 AM
37|1|8|266294|SUMMARY|24487|24487|24487|0|0|14-OCT-14 08.00.00.000000 AM
37|1|8|267310|CLUSTER|8|8|8|0|0|14-OCT-14 08.00.00.000000 AM
37|1|8|266291|ACCOUNT_STATUS|3435|0|0|0|0|14-OCT-14 08.00.00.000000 AM
37|1|8|266293|QUEUE|893|22242|22242|0|0|14-OCT-14 08.00.00.000000 AM
37|1|8|267335|BODY|274|274|274|0|0|14-OCT-14 08.00.00.000000 AM
37|1|10|266292|INDEX|24813|24813|24813|0|0|16-OCT-14 08.00.00.000000 AM
37|1|10|266295|TABLE/PROCEDURE|527824|605269|605269|0|0|16-OCT-14 08.00.00.000000 AM
37|1|10|267335|BODY|19|19|19|0|0|16-OCT-14 08.00.00.000000 AM
37|1|10|266291|ACCOUNT_STATUS|35635|0|0|0|0|16-OCT-14 08.00.00.000000 AM
37|1|10|266293|QUEUE|958|22555|22555|0|0|16-OCT-14 08.00.00.000000 AM
37|1|10|267920|SUBSCRIPTION|0|64|64|0|0|16-OCT-14 08.00.00.000000 AM
37|1|10|266294|SUMMARY|26281|26281|26281|0|0|16-OCT-14 08.00.00.000000 AM
37|1|10|267310|CLUSTER|4|4|4|0|0|16-OCT-14 08.00.00.000000 AM
37|1|16|267335|BODY|0|19416131|19416131|0|0|24-OCT-14 08.00.00.000000 AM
37|1|16|267310|CLUSTER|8|8|8|0|0|24-OCT-14 08.00.00.000000 AM
37|1|16|269373|TRIGGER|0|526|526|0|0|24-OCT-14 08.00.00.000000 AM
37|1|16|266292|INDEX|23514|23513|23513|0|0|24-OCT-14 08.00.00.000000 AM
37|1|16|266294|SUMMARY|19660|19660|19660|0|0|24-OCT-14 08.00.00.000000 AM
37|1|16|266295|TABLE/PROCEDURE|210650|261485|261485|0|0|24-OCT-14 08.00.00.000000 AM
37|1|16|266291|ACCOUNT_STATUS|45788|0|0|0|0|24-OCT-14 08.00.00.000000 AM
37|1|16|266293|QUEUE|876|16390|16390|0|0|24-OCT-14 08.00.00.000000 AM
37|1|13|266295|TABLE/PROCEDURE|236612|300710|300710|0|0|21-OCT-14 08.00.00.000000 AM
37|1|13|267920|SUBSCRIPTION|0|286|286|0|0|21-OCT-14 08.00.00.000000 AM
37|1|13|267919|LOCATION|11|44|44|0|0|21-OCT-14 08.00.00.000000 AM
37|1|13|267310|CLUSTER|2|2|2|0|0|21-OCT-14 08.00.00.000000 AM
37|1|13|266292|INDEX|26784|26784|26784|0|0|21-OCT-14 08.00.00.000000 AM
37|1|13|266293|QUEUE|1012|16992|16992|0|0|21-OCT-14 08.00.00.000000 AM
37|1|13|267335|BODY|0|21695669|21695669|0|0|21-OCT-14 08.00.00.000000 AM
37|1|13|269373|TRIGGER|0|476|476|0|0|21-OCT-14 08.00.00.000000 AM
37|1|13|266294|SUMMARY|24630|24630|24630|0|0|21-OCT-14 08.00.00.000000 AM
37|1|13|266291|ACCOUNT_STATUS|30818|0|0|0|0|21-OCT-14 08.00.00.000000 AM
37|1|14|266291|ACCOUNT_STATUS|4777|0|0|0|0|22-OCT-14 08.00.00.000000 AM
37|1|14|266293|QUEUE|891|16449|16449|0|0|22-OCT-14 08.00.00.000000 AM
37|1|14|266295|TABLE/PROCEDURE|199862|266821|266821|0|0|22-OCT-14 08.00.00.000000 AM
37|1|14|267335|BODY|0|21165549|21165549|0|0|22-OCT-14 08.00.00.000000 AM
37|1|14|266292|INDEX|27626|27626|27626|0|0|22-OCT-14 08.00.00.000000 AM
