site_id|config_id|run_id|stat_id|stat_name|stat_per_sec|stat_per_txn|stat_per_exec|stat_per_call|start_time
37|1|1|265418|Global Cache blocks received|4467.21|16.36|||03-OCT-14 08.00.00.000000 AM
37|1|1|265427|Transactions|274.49||||03-OCT-14 08.00.00.000000 AM
37|1|1|265410|Logical read (blocks)|291880.19|1064.87|||03-OCT-14 08.00.00.000000 AM
37|1|1|265419|Global Cache blocks served|4467.02|16.34|||03-OCT-14 08.00.00.000000 AM
37|1|1|265421|Parses (SQL)|1131.04|4.14|||03-OCT-14 08.00.00.000000 AM
37|1|1|265422|Hard parses (SQL)|1.94|0|||03-OCT-14 08.00.00.000000 AM
37|1|1|265414|Read IO requests|9409.74|34.43|||03-OCT-14 08.00.00.000000 AM
37|1|1|265416|Read IO (MB)|288.91|1.03|||03-OCT-14 08.00.00.000000 AM
37|1|1|265420|User calls|2473.05|9.06|||03-OCT-14 08.00.00.000000 AM
37|1|1|265425|Executes (SQL)|5916.11|21.66|||03-OCT-14 08.00.00.000000 AM
37|1|1|265409|Redo size (bytes)|1979284.81|7228.9|||03-OCT-14 08.00.00.000000 AM
37|1|1|265412|Physical read (blocks)|36979.83|131.27|||03-OCT-14 08.00.00.000000 AM
37|1|1|265408|DB CPU(s)|5.7|0|0|0|03-OCT-14 08.00.00.000000 AM
37|1|1|265415|Write IO requests|579.54|2.13|||03-OCT-14 08.00.00.000000 AM
37|1|1|265417|Write IO (MB)|6.12|0|||03-OCT-14 08.00.00.000000 AM
37|1|1|265423|SQL Work Area (MB)|294.56|1.08|||03-OCT-14 08.00.00.000000 AM
37|1|1|265407|DB Time(s)|17.48|.1|0|.01|03-OCT-14 08.00.00.000000 AM
37|1|1|265413|Physical write (blocks)|782.54|2.88|||03-OCT-14 08.00.00.000000 AM
37|1|1|265424|Logons|2.48|.01|||03-OCT-14 08.00.00.000000 AM
37|1|1|265411|Block changes|5084.1|18.58|||03-OCT-14 08.00.00.000000 AM
37|1|1|265426|Rollbacks|160.69|.6|||03-OCT-14 08.00.00.000000 AM
37|1|2|265418|Global Cache blocks received|5522.92|16.08|||06-OCT-14 08.00.00.000000 AM
37|1|2|265410|Logical read (blocks)|371529.58|1079.76|||06-OCT-14 08.00.00.000000 AM
37|1|2|265415|Write IO requests|760.81|2.21|||06-OCT-14 08.00.00.000000 AM
37|1|2|265417|Write IO (MB)|7.96|0|||06-OCT-14 08.00.00.000000 AM
37|1|2|265409|Redo size (bytes)|2551471.28|7417.36|||06-OCT-14 08.00.00.000000 AM
37|1|2|265422|Hard parses (SQL)|2.11|0|||06-OCT-14 08.00.00.000000 AM
37|1|2|265408|DB CPU(s)|7.66|0|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|265411|Block changes|6739.41|19.6|||06-OCT-14 08.00.00.000000 AM
37|1|2|265416|Read IO (MB)|304.53|.91|||06-OCT-14 08.00.00.000000 AM
37|1|2|265426|Rollbacks|203.29|.6|||06-OCT-14 08.00.00.000000 AM
37|1|2|265427|Transactions|344.37||||06-OCT-14 08.00.00.000000 AM
37|1|2|265414|Read IO requests|11967.63|34.79|||06-OCT-14 08.00.00.000000 AM
37|1|2|265419|Global Cache blocks served|5523.13|16.08|||06-OCT-14 08.00.00.000000 AM
37|1|2|265424|Logons|2.48|0|||06-OCT-14 08.00.00.000000 AM
37|1|2|265425|Executes (SQL)|7588.24|22.08|||06-OCT-14 08.00.00.000000 AM
37|1|2|265407|DB Time(s)|25.32|.1|0|.01|06-OCT-14 08.00.00.000000 AM
37|1|2|265421|Parses (SQL)|1559.21|4.53|||06-OCT-14 08.00.00.000000 AM
37|1|2|265412|Physical read (blocks)|38978.14|112.32|||06-OCT-14 08.00.00.000000 AM
37|1|2|265413|Physical write (blocks)|1018.46|2.96|||06-OCT-14 08.00.00.000000 AM
37|1|2|265420|User calls|3161.39|9.18|||06-OCT-14 08.00.00.000000 AM
37|1|2|265423|SQL Work Area (MB)|408.58|1.19|||06-OCT-14 08.00.00.000000 AM
37|1|4|265408|DB CPU(s)|7.29|0|0|0|08-OCT-14 08.00.00.000000 AM
37|1|4|265411|Block changes|7222.18|21.64|||08-OCT-14 08.00.00.000000 AM
37|1|4|265412|Physical read (blocks)|31793.74|94.72|||08-OCT-14 08.00.00.000000 AM
37|1|4|265415|Write IO requests|730.88|2.19|||08-OCT-14 08.00.00.000000 AM
