site_id|config_id|run_id|stat_id|stat_name|stat_begin_size|stat_curr_size|stat_min_size|stat_max_size|start_time
37|1|2|266671|ASM Buffer Cache|0|0|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266672|DEFAULT 16K buffer cache|0|0|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266674|DEFAULT 32K buffer cache|0|0|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266675|DEFAULT 4K buffer cache|0|0|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266681|SGA Target|0|0|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266683|java pool|384|384|384|384|06-OCT-14 08.00.00.000000 AM
37|1|2|266685|shared pool|8628|8628|8192|8628|06-OCT-14 08.00.00.000000 AM
37|1|2|266676|DEFAULT 8K buffer cache|0|0|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266677|DEFAULT buffer cache|9612|9612|9612|10048|06-OCT-14 08.00.00.000000 AM
37|1|2|266678|KEEP buffer cache|0|0|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266684|large pool|384|384|384|384|06-OCT-14 08.00.00.000000 AM
37|1|2|266686|streams pool|392|392|392|392|06-OCT-14 08.00.00.000000 AM
37|1|2|266679|PGA Target|10240|10240|10240|10240|06-OCT-14 08.00.00.000000 AM
37|1|2|266673|DEFAULT 2K buffer cache|0|0|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266680|RECYCLE buffer cache|0|0|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266682|Shared IO Pool|512|512|512|512|06-OCT-14 08.00.00.000000 AM
37|1|1|266683|java pool|384|384|384|384|03-OCT-14 08.00.00.000000 AM
37|1|1|266682|Shared IO Pool|512|512|512|512|03-OCT-14 08.00.00.000000 AM
37|1|1|266676|DEFAULT 8K buffer cache|0|0|0|0|03-OCT-14 08.00.00.000000 AM
37|1|1|266680|RECYCLE buffer cache|0|0|0|0|03-OCT-14 08.00.00.000000 AM
37|1|1|266681|SGA Target|0|0|0|0|03-OCT-14 08.00.00.000000 AM
37|1|1|266673|DEFAULT 2K buffer cache|0|0|0|0|03-OCT-14 08.00.00.000000 AM
37|1|1|266675|DEFAULT 4K buffer cache|0|0|0|0|03-OCT-14 08.00.00.000000 AM
37|1|1|266685|shared pool|8612|8612|8192|8612|03-OCT-14 08.00.00.000000 AM
37|1|1|266671|ASM Buffer Cache|0|0|0|0|03-OCT-14 08.00.00.000000 AM
37|1|1|266672|DEFAULT 16K buffer cache|0|0|0|0|03-OCT-14 08.00.00.000000 AM
37|1|1|266674|DEFAULT 32K buffer cache|0|0|0|0|03-OCT-14 08.00.00.000000 AM
37|1|1|266684|large pool|384|384|384|384|03-OCT-14 08.00.00.000000 AM
37|1|1|266678|KEEP buffer cache|0|0|0|0|03-OCT-14 08.00.00.000000 AM
37|1|1|266679|PGA Target|10240|10240|10240|10240|03-OCT-14 08.00.00.000000 AM
37|1|1|266677|DEFAULT buffer cache|9628|9628|9628|10048|03-OCT-14 08.00.00.000000 AM
37|1|1|266686|streams pool|392|392|392|392|03-OCT-14 08.00.00.000000 AM
37|1|6|266678|KEEP buffer cache|0|0|0|0|10-OCT-14 08.00.00.000000 AM
37|1|6|266683|java pool|384|384|384|384|10-OCT-14 08.00.00.000000 AM
37|1|6|266684|large pool|384|384|384|384|10-OCT-14 08.00.00.000000 AM
37|1|6|266671|ASM Buffer Cache|0|0|0|0|10-OCT-14 08.00.00.000000 AM
37|1|6|266677|DEFAULT buffer cache|9572|9568|9568|10048|10-OCT-14 08.00.00.000000 AM
37|1|6|266679|PGA Target|10240|10240|10240|10240|10-OCT-14 08.00.00.000000 AM
37|1|6|266682|Shared IO Pool|512|512|512|512|10-OCT-14 08.00.00.000000 AM
37|1|6|266686|streams pool|392|392|392|392|10-OCT-14 08.00.00.000000 AM
37|1|6|266673|DEFAULT 2K buffer cache|0|0|0|0|10-OCT-14 08.00.00.000000 AM
37|1|6|266675|DEFAULT 4K buffer cache|0|0|0|0|10-OCT-14 08.00.00.000000 AM
37|1|6|266685|shared pool|8668|8672|8192|8672|10-OCT-14 08.00.00.000000 AM
37|1|6|266674|DEFAULT 32K buffer cache|0|0|0|0|10-OCT-14 08.00.00.000000 AM
37|1|6|266676|DEFAULT 8K buffer cache|0|0|0|0|10-OCT-14 08.00.00.000000 AM
37|1|6|266681|SGA Target|0|0|0|0|10-OCT-14 08.00.00.000000 AM
37|1|6|266672|DEFAULT 16K buffer cache|0|0|0|0|10-OCT-14 08.00.00.000000 AM
37|1|6|266680|RECYCLE buffer cache|0|0|0|0|10-OCT-14 08.00.00.000000 AM
37|1|3|266674|DEFAULT 32K buffer cache|0|0|0|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266676|DEFAULT 8K buffer cache|0|0|0|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266682|Shared IO Pool|512|512|512|512|07-OCT-14 08.00.00.000000 AM
37|1|3|266684|large pool|384|384|384|384|07-OCT-14 08.00.00.000000 AM
37|1|3|266671|ASM Buffer Cache|0|0|0|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266683|java pool|384|384|384|384|07-OCT-14 08.00.00.000000 AM
37|1|3|266679|PGA Target|10240|10240|10240|10240|07-OCT-14 08.00.00.000000 AM
37|1|3|266681|SGA Target|0|0|0|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266673|DEFAULT 2K buffer cache|0|0|0|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266685|shared pool|8628|8628|8192|8628|07-OCT-14 08.00.00.000000 AM
37|1|3|266672|DEFAULT 16K buffer cache|0|0|0|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266678|KEEP buffer cache|0|0|0|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266680|RECYCLE buffer cache|0|0|0|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266675|DEFAULT 4K buffer cache|0|0|0|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266677|DEFAULT buffer cache|9612|9612|9612|10048|07-OCT-14 08.00.00.000000 AM
37|1|3|266686|streams pool|392|392|392|392|07-OCT-14 08.00.00.000000 AM
37|1|5|266672|DEFAULT 16K buffer cache|0|0|0|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266679|PGA Target|10240|10240|10240|10240|09-OCT-14 08.00.00.000000 AM
37|1|5|266676|DEFAULT 8K buffer cache|0|0|0|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266675|DEFAULT 4K buffer cache|0|0|0|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266682|Shared IO Pool|512|512|512|512|09-OCT-14 08.00.00.000000 AM
37|1|5|266678|KEEP buffer cache|0|0|0|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266674|DEFAULT 32K buffer cache|0|0|0|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266684|large pool|384|384|384|384|09-OCT-14 08.00.00.000000 AM
37|1|5|266683|java pool|384|384|384|384|09-OCT-14 08.00.00.000000 AM
37|1|5|266686|streams pool|392|392|392|392|09-OCT-14 08.00.00.000000 AM
37|1|5|266673|DEFAULT 2K buffer cache|0|0|0|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266685|shared pool|8652|8652|8192|8652|09-OCT-14 08.00.00.000000 AM
37|1|5|266671|ASM Buffer Cache|0|0|0|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266677|DEFAULT buffer cache|9588|9588|9588|10048|09-OCT-14 08.00.00.000000 AM
37|1|5|266680|RECYCLE buffer cache|0|0|0|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266681|SGA Target|0|0|0|0|09-OCT-14 08.00.00.000000 AM
37|1|4|266685|shared pool|8632|8632|8192|8632|08-OCT-14 08.00.00.000000 AM
37|1|4|266672|DEFAULT 16K buffer cache|0|0|0|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266674|DEFAULT 32K buffer cache|0|0|0|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266671|ASM Buffer Cache|0|0|0|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266675|DEFAULT 4K buffer cache|0|0|0|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266680|RECYCLE buffer cache|0|0|0|0|08-OCT-14 08.00.00.000000 AM
