site_id|config_id|run_id|stat_id|stat_name|stat_alloc|stat_used|stat_avg_alloc|stat_num_proc|stat_num_alloc|start_time
37|1|2|266688|PL/SQL|2959.890625|138.51875|3.623125|817.125|813.25|06-OCT-14 08.00.00.000000 AM
37|1|2|266689|Freeable|2003.54|0|2.785|719.25|719.25|06-OCT-14 08.00.00.000000 AM
37|1|2|266690|JAVA|991.45375|959.343125|3.278125|302.4375|302.4375|06-OCT-14 08.00.00.000000 AM
37|1|2|266691|SQL|413.180625|30.09875|.545625|757.875|742.6875|06-OCT-14 08.00.00.000000 AM
37|1|2|266687|Other|21848||26.751875|816.875|816|06-OCT-14 08.00.00.000000 AM
37|1|1|266690|JAVA|1180.9175|1160.939375|3.61625|326.5|326.5|03-OCT-14 08.00.00.000000 AM
37|1|1|266687|Other|23584.038125||27.40125|860.875|860|03-OCT-14 08.00.00.000000 AM
37|1|1|266691|SQL|424.62625|23.5375|.529375|803.4375|792|03-OCT-14 08.00.00.000000 AM
37|1|1|266689|Freeable|2170.993125|0|2.800625|775.375|775.375|03-OCT-14 08.00.00.000000 AM
37|1|1|266688|PL/SQL|3091.72625|37.5475|3.590625|861.25|860.25|03-OCT-14 08.00.00.000000 AM
37|1|6|266691|SQL|434.88|33.46125|.57625|756.5|745.4375|10-OCT-14 08.00.00.000000 AM
37|1|6|266690|JAVA|1153.136875|1066.485|3.5675|323.0625|323.0625|10-OCT-14 08.00.00.000000 AM
37|1|6|266689|Freeable|2251.55375|0|3.04125|740.5625|740.5625|10-OCT-14 08.00.00.000000 AM
37|1|6|266688|PL/SQL|3267.6875|33.681875|4.015|814.125|813.125|10-OCT-14 08.00.00.000000 AM
37|1|6|266687|Other|24760.63375||30.44125|813.6875|812.8125|10-OCT-14 08.00.00.000000 AM
37|1|3|266687|Other|23287.324375||27.84375|836.5625|835.6875|07-OCT-14 08.00.00.000000 AM
37|1|3|266688|PL/SQL|3131.854375|43.5775|3.741875|836.875|835.9375|07-OCT-14 08.00.00.000000 AM
37|1|3|266689|Freeable|2078.96375|0|2.81625|738.5|738.5|07-OCT-14 08.00.00.000000 AM
37|1|3|266691|SQL|437.351875|33.645625|.56125|779.125|767.75|07-OCT-14 08.00.00.000000 AM
37|1|3|266690|JAVA|1061.761875|1013.490625|3.415|310.875|310.875|07-OCT-14 08.00.00.000000 AM
37|1|5|266688|PL/SQL|3248.511875|34.228125|3.973125|817.9375|815.9375|09-OCT-14 08.00.00.000000 AM
37|1|5|266690|JAVA|1124.10125|1050.115|3.5225|319.125|319.125|09-OCT-14 08.00.00.000000 AM
37|1|5|266689|Freeable|2203.9775|0|2.986875|738|738|09-OCT-14 08.00.00.000000 AM
37|1|5|266691|SQL|425.355625|26.795625|.560625|760.125|747.9375|09-OCT-14 08.00.00.000000 AM
