site_id|config_id|run_id|stat_id|stat_pool|stat_name|stat_begin_mb|stat_end_mb|stat_diff_pct|start_time
37|1|2|267158|shared|KGLHD|87|96.07|666670.05|06-OCT-14 08.00.00.000000 AM
37|1|2|266709|shared|KKSSP|188.9|191.21|1.22|06-OCT-14 08.00.00.000000 AM
37|1|2|266718|shared|init_heap_kfsg|193.32|193.34|.01|06-OCT-14 08.00.00.000000 AM
37|1|2|267290|shared|SQLP|30.22|92.78|7499996.94|06-OCT-14 08.00.00.000000 AM
37|1|2|266701|java|JOXLE|24.72|24.72|.01|06-OCT-14 08.00.00.000000 AM
37|1|2|266706|shared|Checkpoint queue|210.95|210.95|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266721|Other|buffer_cache|9612|9612|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266705|shared|ASM extent pointer array|1301.42|1301.42|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266715|shared|gcs resources|282.51|282.51|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266720|streams|free memory|392|392|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266704|shared|ASH buffers|254|254|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266708|shared|KGLH0|937.76|959.98|2.37|06-OCT-14 08.00.00.000000 AM
37|1|2|266710|shared|KTSL subheap|885.95|885.95|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266712|shared|db_block_hash_buckets|89|89|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266702|java|free memory|358.49|358.49|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266703|large|free memory|383.63|383.63|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266707|shared|FileOpenBlock|756.16|756.16|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266714|shared|gcs dynamic s|131.07|131.07|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266719|shared|kcbi io desc slot|340.59|343.8|.94|06-OCT-14 08.00.00.000000 AM
37|1|2|266722|Other|fixed_sga|2.16|2.16|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266711|shared|SQLA|1275.62|1266.29|-.71|06-OCT-14 08.00.00.000000 AM
37|1|2|266713|shared|free memory|259.63|240.46|-4.7|06-OCT-14 08.00.00.000000 AM
37|1|2|266716|shared|gcs shadows|195.59|195.59|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266717|shared|ges enqueues|142.37|142.37|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266723|Other|log_buffer|60.11|60.11|0|06-OCT-14 08.00.00.000000 AM
37|1|2|267355|shared|ges resource|128.28|128.28|0|06-OCT-14 08.00.00.000000 AM
37|1|1|266708|shared|KGLH0|831.99|860.89|3.49|03-OCT-14 08.00.00.000000 AM
37|1|1|266705|shared|ASM extent pointer array|1301.42|1301.42|0|03-OCT-14 08.00.00.000000 AM
37|1|1|266707|shared|FileOpenBlock|756.65|756.65|0|03-OCT-14 08.00.00.000000 AM
37|1|1|266716|shared|gcs shadows|195.59|195.59|0|03-OCT-14 08.00.00.000000 AM
