site_id|config_id|run_id|stat_id|stat_name|stat_total|stat_per_rop|stat_begin_snap|stat_end_snap|start_time
37|1|2|266572|replayed locks sent|558605|235.9|||06-OCT-14 08.00.00.000000 AM
37|1|2|266578|replay time (s)|32.5|.01|||06-OCT-14 08.00.00.000000 AM
37|1|2|266569|remaster ops|2368|1|||06-OCT-14 08.00.00.000000 AM
37|1|2|266570|remastered objects|10448|4.41|||06-OCT-14 08.00.00.000000 AM
37|1|2|266571|replayed locks received|559133|236.12|||06-OCT-14 08.00.00.000000 AM
37|1|2|266573|resources cleaned|0|0|||06-OCT-14 08.00.00.000000 AM
37|1|2|266574|remaster time (s)|2392.4|1.01|||06-OCT-14 08.00.00.000000 AM
37|1|2|266581|affinity objects|||3913|3946|06-OCT-14 08.00.00.000000 AM
37|1|2|266575|quiesce time (s)|240.5|.1|||06-OCT-14 08.00.00.000000 AM
37|1|2|266577|cleanup time (s)|145|.06|||06-OCT-14 08.00.00.000000 AM
37|1|2|266579|fixwrite time (s)|328.2|.14|||06-OCT-14 08.00.00.000000 AM
37|1|2|266580|sync time (s)|1433|.61|||06-OCT-14 08.00.00.000000 AM
37|1|2|266576|freeze time (s)|204.2|.09|||06-OCT-14 08.00.00.000000 AM
37|1|1|266576|freeze time (s)|244.5|.1|||03-OCT-14 08.00.00.000000 AM
37|1|1|266581|affinity objects|||3757|3754|03-OCT-14 08.00.00.000000 AM
37|1|1|266574|remaster time (s)|2734.1|1.12|||03-OCT-14 08.00.00.000000 AM
37|1|1|266572|replayed locks sent|939159|383.64|||03-OCT-14 08.00.00.000000 AM
37|1|1|266573|resources cleaned|0|0|||03-OCT-14 08.00.00.000000 AM
37|1|1|266578|replay time (s)|30.8|.01|||03-OCT-14 08.00.00.000000 AM
37|1|1|266579|fixwrite time (s)|299.3|.12|||03-OCT-14 08.00.00.000000 AM
37|1|1|266577|cleanup time (s)|149|.06|||03-OCT-14 08.00.00.000000 AM
37|1|1|266580|sync time (s)|1761.4|.72|||03-OCT-14 08.00.00.000000 AM
37|1|1|266569|remaster ops|2448|1|||03-OCT-14 08.00.00.000000 AM
37|1|1|266570|remastered objects|8976|3.67|||03-OCT-14 08.00.00.000000 AM
37|1|1|266575|quiesce time (s)|239.3|.1|||03-OCT-14 08.00.00.000000 AM
37|1|1|266571|replayed locks received|940031|384|||03-OCT-14 08.00.00.000000 AM
37|1|6|266578|replay time (s)|38.5|.02|||10-OCT-14 08.00.00.000000 AM
37|1|6|266577|cleanup time (s)|156.2|.06|||10-OCT-14 08.00.00.000000 AM
37|1|6|266575|quiesce time (s)|252.2|.1|||10-OCT-14 08.00.00.000000 AM
37|1|6|266579|fixwrite time (s)|328.8|.13|||10-OCT-14 08.00.00.000000 AM
37|1|6|266581|affinity objects|||3850|3815|10-OCT-14 08.00.00.000000 AM
37|1|6|266569|remaster ops|2544|1|||10-OCT-14 08.00.00.000000 AM
37|1|6|266572|replayed locks sent|1021584|401.57|||10-OCT-14 08.00.00.000000 AM
37|1|6|266574|remaster time (s)|2585.1|1.02|||10-OCT-14 08.00.00.000000 AM
37|1|6|266571|replayed locks received|1022401|401.89|||10-OCT-14 08.00.00.000000 AM
37|1|6|266570|remastered objects|12128|4.77|||10-OCT-14 08.00.00.000000 AM
37|1|6|266573|resources cleaned|0|0|||10-OCT-14 08.00.00.000000 AM
37|1|6|266576|freeze time (s)|223.5|.09|||10-OCT-14 08.00.00.000000 AM
37|1|6|266580|sync time (s)|1577.6|.62|||10-OCT-14 08.00.00.000000 AM
37|1|3|266574|remaster time (s)|2988|1.22|||07-OCT-14 08.00.00.000000 AM
37|1|3|266572|replayed locks sent|1166934|476.69|||07-OCT-14 08.00.00.000000 AM
37|1|3|266571|replayed locks received|1168774|477.44|||07-OCT-14 08.00.00.000000 AM
37|1|3|266576|freeze time (s)|254.6|.11|||07-OCT-14 08.00.00.000000 AM
37|1|3|266579|fixwrite time (s)|337.2|.14|||07-OCT-14 08.00.00.000000 AM
37|1|3|266577|cleanup time (s)|153.6|.06|||07-OCT-14 08.00.00.000000 AM
37|1|3|266580|sync time (s)|1947.6|.8|||07-OCT-14 08.00.00.000000 AM
37|1|3|266575|quiesce time (s)|249.2|.1|||07-OCT-14 08.00.00.000000 AM
37|1|3|266570|remastered objects|11472|4.69|||07-OCT-14 08.00.00.000000 AM
37|1|3|266578|replay time (s)|35.6|.01|||07-OCT-14 08.00.00.000000 AM
37|1|3|266581|affinity objects|||3984|3988|07-OCT-14 08.00.00.000000 AM
37|1|3|266569|remaster ops|2448|1|||07-OCT-14 08.00.00.000000 AM
37|1|3|266573|resources cleaned|0|0|||07-OCT-14 08.00.00.000000 AM
37|1|5|266569|remaster ops|2608|1|||09-OCT-14 08.00.00.000000 AM
37|1|5|266570|remastered objects|12544|4.81|||09-OCT-14 08.00.00.000000 AM
37|1|5|266572|replayed locks sent|948796|363.8|||09-OCT-14 08.00.00.000000 AM
37|1|5|266575|quiesce time (s)|259.7|.1|||09-OCT-14 08.00.00.000000 AM
37|1|5|266578|replay time (s)|39.3|.02|||09-OCT-14 08.00.00.000000 AM
37|1|5|266571|replayed locks received|949776|364.18|||09-OCT-14 08.00.00.000000 AM
37|1|5|266574|remaster time (s)|2585.7|.99|||09-OCT-14 08.00.00.000000 AM
37|1|5|266577|cleanup time (s)|159.3|.06|||09-OCT-14 08.00.00.000000 AM
37|1|5|266573|resources cleaned|0|0|||09-OCT-14 08.00.00.000000 AM
37|1|5|266576|freeze time (s)|225.4|.09|||09-OCT-14 08.00.00.000000 AM
37|1|5|266581|affinity objects|||3827|3856|09-OCT-14 08.00.00.000000 AM
37|1|5|266579|fixwrite time (s)|346.5|.13|||09-OCT-14 08.00.00.000000 AM
37|1|5|266580|sync time (s)|1545.7|.59|||09-OCT-14 08.00.00.000000 AM
37|1|4|266572|replayed locks sent|1157197|430.5|||08-OCT-14 08.00.00.000000 AM
37|1|4|266576|freeze time (s)|245.5|.09|||08-OCT-14 08.00.00.000000 AM
37|1|4|266581|affinity objects|||3867|3889|08-OCT-14 08.00.00.000000 AM
37|1|4|266574|remaster time (s)|2769.1|1.03|||08-OCT-14 08.00.00.000000 AM
37|1|4|266575|quiesce time (s)|275|.1|||08-OCT-14 08.00.00.000000 AM
37|1|4|266579|fixwrite time (s)|368.2|.14|||08-OCT-14 08.00.00.000000 AM
37|1|4|266569|remaster ops|2688|1|||08-OCT-14 08.00.00.000000 AM
37|1|4|266571|replayed locks received|1158866|431.13|||08-OCT-14 08.00.00.000000 AM
37|1|4|266573|resources cleaned|0|0|||08-OCT-14 08.00.00.000000 AM
37|1|4|266580|sync time (s)|1657.9|.62|||08-OCT-14 08.00.00.000000 AM
37|1|4|266577|cleanup time (s)|173.1|.06|||08-OCT-14 08.00.00.000000 AM
37|1|4|266570|remastered objects|12208|4.54|||08-OCT-14 08.00.00.000000 AM
37|1|4|266578|replay time (s)|38.6|.01|||08-OCT-14 08.00.00.000000 AM
37|1|7|266570|remastered objects|11488|4.82|||13-OCT-14 08.00.00.000000 AM
37|1|7|266573|resources cleaned|0|0|||13-OCT-14 08.00.00.000000 AM
37|1|7|266576|freeze time (s)|222.6|.09|||13-OCT-14 08.00.00.000000 AM
37|1|7|266574|remaster time (s)|2573.6|1.08|||13-OCT-14 08.00.00.000000 AM
37|1|7|266579|fixwrite time (s)|335.9|.14|||13-OCT-14 08.00.00.000000 AM
37|1|7|266577|cleanup time (s)|151.9|.06|||13-OCT-14 08.00.00.000000 AM
37|1|7|266581|affinity objects|||4198|4177|13-OCT-14 08.00.00.000000 AM
37|1|7|266569|remaster ops|2384|1|||13-OCT-14 08.00.00.000000 AM
37|1|7|266572|replayed locks sent|608167|255.1|||13-OCT-14 08.00.00.000000 AM
37|1|7|266580|sync time (s)|1571.7|.66|||13-OCT-14 08.00.00.000000 AM
37|1|7|266578|replay time (s)|35|.01|||13-OCT-14 08.00.00.000000 AM
37|1|7|266571|replayed locks received|609228|255.55|||13-OCT-14 08.00.00.000000 AM
37|1|7|266575|quiesce time (s)|244.5|.1|||13-OCT-14 08.00.00.000000 AM
37|1|11|266574|remaster time (s)|3051|1.09|||17-OCT-14 08.00.00.000000 AM
37|1|11|266578|replay time (s)|38.7|.01|||17-OCT-14 08.00.00.000000 AM
37|1|11|266579|fixwrite time (s)|395.5|.14|||17-OCT-14 08.00.00.000000 AM
37|1|11|266581|affinity objects|||4328|4363|17-OCT-14 08.00.00.000000 AM
37|1|11|266577|cleanup time (s)|187.4|.07|||17-OCT-14 08.00.00.000000 AM
37|1|11|266569|remaster ops|2800|1|||17-OCT-14 08.00.00.000000 AM
37|1|11|266573|resources cleaned|0|0|||17-OCT-14 08.00.00.000000 AM
37|1|11|266580|sync time (s)|1861.3|.67|||17-OCT-14 08.00.00.000000 AM
37|1|11|266570|remastered objects|11984|4.28|||17-OCT-14 08.00.00.000000 AM
37|1|11|266572|replayed locks sent|727354|259.77|||17-OCT-14 08.00.00.000000 AM
37|1|11|266571|replayed locks received|728547|260.19|||17-OCT-14 08.00.00.000000 AM
37|1|11|266576|freeze time (s)|260.5|.09|||17-OCT-14 08.00.00.000000 AM
37|1|11|266575|quiesce time (s)|296.1|.11|||17-OCT-14 08.00.00.000000 AM
37|1|12|266580|sync time (s)|2124.1|.73|||20-OCT-14 08.00.00.000000 AM
