site_id|config_id|run_id|stat_id|stat_name|stat_total|start_time
37|1|2|266467|CURRENT Block Requests|231684574|06-OCT-14 08.00.00.000000 AM
37|1|2|266471|Current Results|64926495|06-OCT-14 08.00.00.000000 AM
37|1|2|266472|Private results|551012|06-OCT-14 08.00.00.000000 AM
37|1|2|266474|Disk Read Results|-4089256418|06-OCT-14 08.00.00.000000 AM
37|1|2|266479|Flushes|3766976|06-OCT-14 08.00.00.000000 AM
37|1|2|266475|Fail Results|107593|06-OCT-14 08.00.00.000000 AM
37|1|2|266470|TX Block Requests|5182110|06-OCT-14 08.00.00.000000 AM
37|1|2|266482|Flush Max Time (us)|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266483|Light Works|6945627|06-OCT-14 08.00.00.000000 AM
37|1|2|266466|CR Block Requests|41998588|06-OCT-14 08.00.00.000000 AM
37|1|2|266473|Zero Results|2358994|06-OCT-14 08.00.00.000000 AM
37|1|2|266476|Fairness Down Converts|19081482|06-OCT-14 08.00.00.000000 AM
37|1|2|266469|Undo Block Requests|5654135|06-OCT-14 08.00.00.000000 AM
37|1|2|266481|Flush Queue Full|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266477|Fairness Clears|1503502|06-OCT-14 08.00.00.000000 AM
37|1|2|266478|Free GC Elements|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266480|Flushes Queued|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266468|Data Block Requests|42006634|06-OCT-14 08.00.00.000000 AM
37|1|2|266484|Errors|0|06-OCT-14 08.00.00.000000 AM
37|1|1|266466|CR Block Requests|33034078|03-OCT-14 08.00.00.000000 AM
37|1|1|266467|CURRENT Block Requests|167594523|03-OCT-14 08.00.00.000000 AM
37|1|1|266470|TX Block Requests|4483007|03-OCT-14 08.00.00.000000 AM
37|1|1|266476|Fairness Down Converts|15100262|03-OCT-14 08.00.00.000000 AM
37|1|1|266480|Flushes Queued|0|03-OCT-14 08.00.00.000000 AM
37|1|1|266484|Errors|0|03-OCT-14 08.00.00.000000 AM
37|1|1|266472|Private results|104408|03-OCT-14 08.00.00.000000 AM
37|1|1|266474|Disk Read Results|149181148|03-OCT-14 08.00.00.000000 AM
37|1|1|266475|Fail Results|55670|03-OCT-14 08.00.00.000000 AM
37|1|1|266469|Undo Block Requests|671491|03-OCT-14 08.00.00.000000 AM
37|1|1|266473|Zero Results|1682590|03-OCT-14 08.00.00.000000 AM
37|1|1|266478|Free GC Elements|0|03-OCT-14 08.00.00.000000 AM
37|1|1|266468|Data Block Requests|33040506|03-OCT-14 08.00.00.000000 AM
37|1|1|266483|Light Works|1484562|03-OCT-14 08.00.00.000000 AM
37|1|1|266477|Fairness Clears|1228503|03-OCT-14 08.00.00.000000 AM
37|1|1|266482|Flush Max Time (us)|0|03-OCT-14 08.00.00.000000 AM
37|1|1|266471|Current Results|49587713|03-OCT-14 08.00.00.000000 AM
37|1|1|266479|Flushes|2380159|03-OCT-14 08.00.00.000000 AM
37|1|1|266481|Flush Queue Full|0|03-OCT-14 08.00.00.000000 AM
