site_id|config_id|run_id|stat_id|stat_name|stat_total|stat_lessonems|stat_lesstenms|stat_lesshunms|stat_lessones|stat_lesstens|start_time
37|1|2|266486|Flushes|929057|67.69|30.03|2.28|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266487|Writes|15240316|7.3|37.53|54.83|.32|.01|06-OCT-14 08.00.00.000000 AM
37|1|2|266485|Pins|442461|77.53|20.49|1.97|0|0|06-OCT-14 08.00.00.000000 AM
37|1|1|266487|Writes|12629716|9.76|47.47|42.43|.33|0|03-OCT-14 08.00.00.000000 AM
37|1|1|266485|Pins|349604|87.67|11.14|1.19|0|0|03-OCT-14 08.00.00.000000 AM
37|1|1|266486|Flushes|871259|77.79|20.92|1.29|0|0|03-OCT-14 08.00.00.000000 AM
37|1|6|266485|Pins|275456|86.45|12.4|1.14|.01|0|10-OCT-14 08.00.00.000000 AM
37|1|6|266486|Flushes|795729|73.84|24.51|1.65|0|0|10-OCT-14 08.00.00.000000 AM
37|1|6|266487|Writes|14225652|8.48|43.02|48.22|.28|0|10-OCT-14 08.00.00.000000 AM
37|1|3|266485|Pins|232565|84.96|13.71|1.33|0|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266487|Writes|14972426|7.97|38.98|52.86|.18|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266486|Flushes|705865|69.44|28.44|2.12|0|0|07-OCT-14 08.00.00.000000 AM
37|1|5|266485|Pins|262384|84.47|14|1.53|0|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266486|Flushes|785626|68.73|28.87|2.39|0|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266487|Writes|14399928|7.79|38.56|53.34|.31|0|09-OCT-14 08.00.00.000000 AM
37|1|4|266485|Pins|277296|85.52|13.23|1.25|.01|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266486|Flushes|779737|69.47|28.34|2.18|0|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266487|Writes|15049669|7.98|39.28|52.5|.24|0|08-OCT-14 08.00.00.000000 AM
37|1|7|266487|Writes|15344242|7.99|40.59|51.2|.22|0|13-OCT-14 08.00.00.000000 AM
37|1|7|266486|Flushes|804753|68.61|29.15|2.24|0|0|13-OCT-14 08.00.00.000000 AM
37|1|7|266485|Pins|418050|81.41|16.79|1.8|0|0|13-OCT-14 08.00.00.000000 AM
37|1|11|266486|Flushes|724705|71.84|26.37|1.79|0|0|17-OCT-14 08.00.00.000000 AM
37|1|11|266485|Pins|287883|86.03|12.41|1.56|0|0|17-OCT-14 08.00.00.000000 AM
37|1|11|266487|Writes|14363605|8.37|42.08|49.32|.24|0|17-OCT-14 08.00.00.000000 AM
37|1|12|266485|Pins|405987|87.88|11.25|.87|0|0|20-OCT-14 08.00.00.000000 AM
37|1|12|266486|Flushes|907182|70.66|27.23|2.11|0|0|20-OCT-14 08.00.00.000000 AM
37|1|12|266487|Writes|14988840|6.01|32.63|61.08|.27|.01|20-OCT-14 08.00.00.000000 AM
37|1|9|266486|Flushes|759104|68.61|29.32|2.08|0|0|15-OCT-14 08.00.00.000000 AM
37|1|9|266487|Writes|15795534|7.79|39.34|52.65|.21|0|15-OCT-14 08.00.00.000000 AM
37|1|9|266485|Pins|347544|83.77|15|1.22|.01|0|15-OCT-14 08.00.00.000000 AM
37|1|8|266485|Pins|254376|83.64|14.18|2.18|.01|0|14-OCT-14 08.00.00.000000 AM
37|1|8|266486|Flushes|837869|70.09|27.94|1.97|0|0|14-OCT-14 08.00.00.000000 AM
37|1|8|266487|Writes|15572741|7.74|39.47|52.62|.18|0|14-OCT-14 08.00.00.000000 AM
37|1|10|266486|Flushes|716322|69.88|28.07|2.05|0|0|16-OCT-14 08.00.00.000000 AM
37|1|10|266485|Pins|248660|83.86|14.38|1.76|.01|0|16-OCT-14 08.00.00.000000 AM
37|1|10|266487|Writes|14811781|7.78|39.02|52.92|.28|0|16-OCT-14 08.00.00.000000 AM
37|1|17|266487|Writes|16501902|5.43|32.85|61.28|.44|0|27-OCT-14 08.00.00.000000 AM
37|1|17|266485|Pins|470416|82.33|15.17|2.49|.01|0|27-OCT-14 08.00.00.000000 AM
37|1|17|266486|Flushes|981940|68.42|29.04|2.54|0|0|27-OCT-14 08.00.00.000000 AM
37|1|16|266485|Pins|389879|87.4|11.55|1.05|0|0|24-OCT-14 08.00.00.000000 AM
37|1|16|266487|Writes|13330446|6.43|36.38|56.81|.38|0|24-OCT-14 08.00.00.000000 AM
