site_id|config_id|run_id|stat_id|stat_name|stat_value|start_time
37|1|2|266338|Buffer access -  local cache %|93.46|06-OCT-14 08.00.00.000000 AM
37|1|2|266339|Buffer access - remote cache %|1.57|06-OCT-14 08.00.00.000000 AM
37|1|2|266340|Buffer access -	      disk %|4.97|06-OCT-14 08.00.00.000000 AM
37|1|1|266340|Buffer access -	      disk %|5.11|03-OCT-14 08.00.00.000000 AM
37|1|1|266338|Buffer access -  local cache %|93.24|03-OCT-14 08.00.00.000000 AM
37|1|1|266339|Buffer access - remote cache %|1.65|03-OCT-14 08.00.00.000000 AM
37|1|6|266340|Buffer access -	      disk %|4.32|10-OCT-14 08.00.00.000000 AM
37|1|6|266338|Buffer access -  local cache %|94.12|10-OCT-14 08.00.00.000000 AM
37|1|6|266339|Buffer access - remote cache %|1.57|10-OCT-14 08.00.00.000000 AM
37|1|3|266340|Buffer access -	      disk %|3.99|07-OCT-14 08.00.00.000000 AM
37|1|3|266338|Buffer access -  local cache %|94.6|07-OCT-14 08.00.00.000000 AM
37|1|3|266339|Buffer access - remote cache %|1.4|07-OCT-14 08.00.00.000000 AM
37|1|5|266340|Buffer access -	      disk %|4.66|09-OCT-14 08.00.00.000000 AM
37|1|5|266339|Buffer access - remote cache %|1.41|09-OCT-14 08.00.00.000000 AM
37|1|5|266338|Buffer access -  local cache %|93.93|09-OCT-14 08.00.00.000000 AM
37|1|4|266340|Buffer access -	      disk %|2.99|08-OCT-14 08.00.00.000000 AM
37|1|4|266338|Buffer access -  local cache %|95.56|08-OCT-14 08.00.00.000000 AM
37|1|4|266339|Buffer access - remote cache %|1.46|08-OCT-14 08.00.00.000000 AM
37|1|7|266340|Buffer access -	      disk %|4.21|13-OCT-14 08.00.00.000000 AM
37|1|7|266338|Buffer access -  local cache %|94.15|13-OCT-14 08.00.00.000000 AM
37|1|7|266339|Buffer access - remote cache %|1.64|13-OCT-14 08.00.00.000000 AM
37|1|11|266338|Buffer access -	local cache %|93.27|17-OCT-14 08.00.00.000000 AM
37|1|11|266340|Buffer access -	       disk %|4.79|17-OCT-14 08.00.00.000000 AM
37|1|11|266339|Buffer access - remote cache %|1.94|17-OCT-14 08.00.00.000000 AM
37|1|12|266339|Buffer access - remote cache %|1.65|20-OCT-14 08.00.00.000000 AM
37|1|12|266340|Buffer access -	       disk %|4.41|20-OCT-14 08.00.00.000000 AM
37|1|12|266338|Buffer access -	local cache %|93.94|20-OCT-14 08.00.00.000000 AM
37|1|9|266338|Buffer access -  local cache %|94.66|15-OCT-14 08.00.00.000000 AM
37|1|9|266339|Buffer access - remote cache %|1.83|15-OCT-14 08.00.00.000000 AM
37|1|9|266340|Buffer access -	      disk %|3.5|15-OCT-14 08.00.00.000000 AM
37|1|8|266338|Buffer access -  local cache %|94.33|14-OCT-14 08.00.00.000000 AM
37|1|8|266340|Buffer access -	      disk %|3.74|14-OCT-14 08.00.00.000000 AM
37|1|8|266339|Buffer access - remote cache %|1.93|14-OCT-14 08.00.00.000000 AM
37|1|10|266338|Buffer access -	local cache %|94.09|16-OCT-14 08.00.00.000000 AM
37|1|10|266340|Buffer access -	       disk %|4.07|16-OCT-14 08.00.00.000000 AM
37|1|10|266339|Buffer access - remote cache %|1.85|16-OCT-14 08.00.00.000000 AM
37|1|17|266339|Buffer access - remote cache %|1.78|27-OCT-14 08.00.00.000000 AM
