site_id|config_id|run_id|stat_id|stat_name|stat_per_sec|stat_per_trans|start_time
37|1|2|266333|Global Cache blocks served|5523.13|16.06|06-OCT-14 08.00.00.000000 AM
37|1|2|266337|Estd Interconnect traffic (KB)|102957.37||06-OCT-14 08.00.00.000000 AM
37|1|2|266334|GCS/GES messages received|37351.92|108.64|06-OCT-14 08.00.00.000000 AM
37|1|2|266335|GCS/GES messages sent|37344.1|108.62|06-OCT-14 08.00.00.000000 AM
37|1|2|266332|Global Cache blocks received|5522.91|16.06|06-OCT-14 08.00.00.000000 AM
37|1|2|266336|DBWR Fusion writes|132.31|.38|06-OCT-14 08.00.00.000000 AM
37|1|1|266333|Global Cache blocks served|4467.01|16.35|03-OCT-14 08.00.00.000000 AM
37|1|1|266336|DBWR Fusion writes|109.5|.4|03-OCT-14 08.00.00.000000 AM
37|1|1|266337|Estd Interconnect traffic (KB)|83424.69||03-OCT-14 08.00.00.000000 AM
37|1|1|266332|Global Cache blocks received|4467.2|16.35|03-OCT-14 08.00.00.000000 AM
37|1|1|266334|GCS/GES messages received|30597.95|111.98|03-OCT-14 08.00.00.000000 AM
37|1|1|266335|GCS/GES messages sent|30591.41|111.97|03-OCT-14 08.00.00.000000 AM
37|1|6|266333|Global Cache blocks served|4804.65|15.85|10-OCT-14 08.00.00.000000 AM
37|1|6|266336|DBWR Fusion writes|123.39|.41|10-OCT-14 08.00.00.000000 AM
37|1|6|266335|GCS/GES messages sent|32593.11|107.58|10-OCT-14 08.00.00.000000 AM
37|1|6|266337|Estd Interconnect traffic (KB)|89609.62||10-OCT-14 08.00.00.000000 AM
37|1|6|266332|Global Cache blocks received|4804.88|15.86|10-OCT-14 08.00.00.000000 AM
37|1|6|266334|GCS/GES messages received|32601.88|107.59|10-OCT-14 08.00.00.000000 AM
37|1|3|266333|Global Cache blocks served|5068.65|15.16|07-OCT-14 08.00.00.000000 AM
37|1|3|266335|GCS/GES messages sent|34485.39|103.11|07-OCT-14 08.00.00.000000 AM
37|1|3|266336|DBWR Fusion writes|130.02|.39|07-OCT-14 08.00.00.000000 AM
37|1|3|266332|Global Cache blocks received|5069.02|15.16|07-OCT-14 08.00.00.000000 AM
37|1|3|266337|Estd Interconnect traffic (KB)|94573.89||07-OCT-14 08.00.00.000000 AM
37|1|3|266334|GCS/GES messages received|34493.93|103.15|07-OCT-14 08.00.00.000000 AM
