site_id|config_id|run_id|stat_id|stat_name|stat_value|start_time
37|1|2|266352|Avg message sent queue time (ms)|.08|06-OCT-14 08.00.00.000000 AM
37|1|2|266353|Avg message sent queue time on ksxp (ms)|.1|06-OCT-14 08.00.00.000000 AM
37|1|2|266359|% of flow controlled messages|1.84|06-OCT-14 08.00.00.000000 AM
37|1|2|266358|% of indirect sent messages|55.57|06-OCT-14 08.00.00.000000 AM
37|1|2|266354|Avg message received queue time (ms)|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266356|Avg GES message process time (ms)|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266355|Avg GCS message process time (ms)|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266357|% of direct sent messages|42.59|06-OCT-14 08.00.00.000000 AM
37|1|1|266357|% of direct sent messages|43.28|03-OCT-14 08.00.00.000000 AM
37|1|1|266352|Avg message sent queue time (ms)|.02|03-OCT-14 08.00.00.000000 AM
37|1|1|266359|% of flow controlled messages|1.55|03-OCT-14 08.00.00.000000 AM
37|1|1|266355|Avg GCS message process time (ms)|0|03-OCT-14 08.00.00.000000 AM
37|1|1|266358|% of indirect sent messages|55.16|03-OCT-14 08.00.00.000000 AM
37|1|1|266353|Avg message sent queue time on ksxp (ms)|.1|03-OCT-14 08.00.00.000000 AM
37|1|1|266354|Avg message received queue time (ms)|0|03-OCT-14 08.00.00.000000 AM
37|1|1|266356|Avg GES message process time (ms)|0|03-OCT-14 08.00.00.000000 AM
37|1|6|266354|Avg message received queue time (ms)|0|10-OCT-14 08.00.00.000000 AM
37|1|6|266356|Avg GES message process time (ms)|0|10-OCT-14 08.00.00.000000 AM
37|1|6|266352|Avg message sent queue time (ms)|.04|10-OCT-14 08.00.00.000000 AM
37|1|6|266355|Avg GCS message process time (ms)|0|10-OCT-14 08.00.00.000000 AM
37|1|6|266358|% of indirect sent messages|56.6|10-OCT-14 08.00.00.000000 AM
37|1|6|266359|% of flow controlled messages|1.55|10-OCT-14 08.00.00.000000 AM
37|1|6|266353|Avg message sent queue time on ksxp (ms)|.1|10-OCT-14 08.00.00.000000 AM
37|1|6|266357|% of direct sent messages|41.85|10-OCT-14 08.00.00.000000 AM
37|1|3|266358|% of indirect sent messages|57.96|07-OCT-14 08.00.00.000000 AM
37|1|3|266354|Avg message received queue time (ms)|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266355|Avg GCS message process time (ms)|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266352|Avg message sent queue time (ms)|.06|07-OCT-14 08.00.00.000000 AM
37|1|3|266353|Avg message sent queue time on ksxp (ms)|.1|07-OCT-14 08.00.00.000000 AM
37|1|3|266357|% of direct sent messages|40.49|07-OCT-14 08.00.00.000000 AM
37|1|3|266359|% of flow controlled messages|1.56|07-OCT-14 08.00.00.000000 AM
37|1|3|266356|Avg GES message process time (ms)|0|07-OCT-14 08.00.00.000000 AM
37|1|5|266355|Avg GCS message process time (ms)|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266358|% of indirect sent messages|56.74|09-OCT-14 08.00.00.000000 AM
37|1|5|266353|Avg message sent queue time on ksxp (ms)|.1|09-OCT-14 08.00.00.000000 AM
37|1|5|266356|Avg GES message process time (ms)|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266352|Avg message sent queue time (ms)|.07|09-OCT-14 08.00.00.000000 AM
37|1|5|266354|Avg message received queue time (ms)|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266357|% of direct sent messages|41.63|09-OCT-14 08.00.00.000000 AM
37|1|5|266359|% of flow controlled messages|1.63|09-OCT-14 08.00.00.000000 AM
37|1|4|266356|Avg GES message process time (ms)|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266357|% of direct sent messages|40.76|08-OCT-14 08.00.00.000000 AM
