site_id|config_id|run_id|stat_id|stat_name|stat_value|start_time
37|1|2|266341|Avg global enqueue get time (ms)|1.6|06-OCT-14 08.00.00.000000 AM
37|1|2|266347|Avg global cache cr block flush time (ms)|1.58|06-OCT-14 08.00.00.000000 AM
37|1|2|266342|Avg global cache cr block receive time (ms)|.51|06-OCT-14 08.00.00.000000 AM
37|1|2|266343|Avg global cache current block receive time (ms)|.42|06-OCT-14 08.00.00.000000 AM
37|1|2|266346|Global cache log flushes for cr blocks served %|5.52|06-OCT-14 08.00.00.000000 AM
37|1|2|266348|Avg global cache current block pin time (ms)|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266345|Avg global cache cr block send time (ms)|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266350|Global cache log flushes for current blocks served %|.16|06-OCT-14 08.00.00.000000 AM
37|1|2|266349|Avg global cache current block send time (ms)|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266344|Avg global cache cr block build time (ms)|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266351|Avg global cache current block flush time (ms)|1.6|06-OCT-14 08.00.00.000000 AM
37|1|1|266347|Avg global cache cr block flush time (ms)|1.12|03-OCT-14 08.00.00.000000 AM
37|1|1|266349|Avg global cache current block send time (ms)|0|03-OCT-14 08.00.00.000000 AM
37|1|1|266343|Avg global cache current block receive time (ms)|.36|03-OCT-14 08.00.00.000000 AM
37|1|1|266348|Avg global cache current block pin time (ms)|.01|03-OCT-14 08.00.00.000000 AM
37|1|1|266341|Avg global enqueue get time (ms)|1.86|03-OCT-14 08.00.00.000000 AM
37|1|1|266344|Avg global cache cr block build time (ms)|0|03-OCT-14 08.00.00.000000 AM
37|1|1|266346|Global cache log flushes for cr blocks served %|4.64|03-OCT-14 08.00.00.000000 AM
37|1|1|266351|Avg global cache current block flush time (ms)|1.19|03-OCT-14 08.00.00.000000 AM
37|1|1|266345|Avg global cache cr block send time (ms)|0|03-OCT-14 08.00.00.000000 AM
37|1|1|266342|Avg global cache cr block receive time (ms)|.39|03-OCT-14 08.00.00.000000 AM
37|1|1|266350|Global cache log flushes for current blocks served %|.21|03-OCT-14 08.00.00.000000 AM
37|1|6|266341|Avg global enqueue get time (ms)|1.73|10-OCT-14 08.00.00.000000 AM
37|1|6|266349|Avg global cache current block send time (ms)|0|10-OCT-14 08.00.00.000000 AM
37|1|6|266351|Avg global cache current block flush time (ms)|1.36|10-OCT-14 08.00.00.000000 AM
37|1|6|266342|Avg global cache cr block receive time (ms)|.46|10-OCT-14 08.00.00.000000 AM
37|1|6|266343|Avg global cache current block receive time (ms)|.41|10-OCT-14 08.00.00.000000 AM
37|1|6|266345|Avg global cache cr block send time (ms)|0|10-OCT-14 08.00.00.000000 AM
37|1|6|266346|Global cache log flushes for cr blocks served %|4.08|10-OCT-14 08.00.00.000000 AM
37|1|6|266350|Global cache log flushes for current blocks served %|.17|10-OCT-14 08.00.00.000000 AM
37|1|6|266344|Avg global cache cr block build time (ms)|0|10-OCT-14 08.00.00.000000 AM
37|1|6|266347|Avg global cache cr block flush time (ms)|1.29|10-OCT-14 08.00.00.000000 AM
37|1|6|266348|Avg global cache current block pin time (ms)|0|10-OCT-14 08.00.00.000000 AM
37|1|3|266344|Avg global cache cr block build time (ms)|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266345|Avg global cache cr block send time (ms)|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266351|Avg global cache current block flush time (ms)|1.53|07-OCT-14 08.00.00.000000 AM
37|1|3|266342|Avg global cache cr block receive time (ms)|.49|07-OCT-14 08.00.00.000000 AM
37|1|3|266348|Avg global cache current block pin time (ms)|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266341|Avg global enqueue get time (ms)|1.72|07-OCT-14 08.00.00.000000 AM
37|1|3|266343|Avg global cache current block receive time (ms)|.41|07-OCT-14 08.00.00.000000 AM
37|1|3|266346|Global cache log flushes for cr blocks served %|5.27|07-OCT-14 08.00.00.000000 AM
37|1|3|266347|Avg global cache cr block flush time (ms)|1.49|07-OCT-14 08.00.00.000000 AM
37|1|3|266349|Avg global cache current block send time (ms)|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266350|Global cache log flushes for current blocks served %|.1|07-OCT-14 08.00.00.000000 AM
37|1|5|266341|Avg global enqueue get time (ms)|1.63|09-OCT-14 08.00.00.000000 AM
37|1|5|266347|Avg global cache cr block flush time (ms)|1.48|09-OCT-14 08.00.00.000000 AM
37|1|5|266348|Avg global cache current block pin time (ms)|.01|09-OCT-14 08.00.00.000000 AM
37|1|5|266350|Global cache log flushes for current blocks served %|.14|09-OCT-14 08.00.00.000000 AM
37|1|5|266351|Avg global cache current block flush time (ms)|1.6|09-OCT-14 08.00.00.000000 AM
37|1|5|266344|Avg global cache cr block build time (ms)|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266346|Global cache log flushes for cr blocks served %|4.5|09-OCT-14 08.00.00.000000 AM
37|1|5|266345|Avg global cache cr block send time (ms)|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266342|Avg global cache cr block receive time (ms)|.48|09-OCT-14 08.00.00.000000 AM
37|1|5|266343|Avg global cache current block receive time (ms)|.42|09-OCT-14 08.00.00.000000 AM
37|1|5|266349|Avg global cache current block send time (ms)|0|09-OCT-14 08.00.00.000000 AM
37|1|4|266349|Avg global cache current block send time (ms)|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266345|Avg global cache cr block send time (ms)|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266350|Global cache log flushes for current blocks served %|.13|08-OCT-14 08.00.00.000000 AM
37|1|4|266341|Avg global enqueue get time (ms)|1.72|08-OCT-14 08.00.00.000000 AM
37|1|4|266343|Avg global cache current block receive time (ms)|.43|08-OCT-14 08.00.00.000000 AM
37|1|4|266347|Avg global cache cr block flush time (ms)|1.56|08-OCT-14 08.00.00.000000 AM
37|1|4|266351|Avg global cache current block flush time (ms)|1.54|08-OCT-14 08.00.00.000000 AM
37|1|4|266344|Avg global cache cr block build time (ms)|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266342|Avg global cache cr block receive time (ms)|.51|08-OCT-14 08.00.00.000000 AM
