site_id|config_id|run_id|stat_id|stat_instno|stat_500b_pingcnt|stat_avg_500b_msg|stat_std_500b_msg|stat_8k_ping_cnt|stat_avg_8k_msg|stat_std_8k_msg|start_time
37|1|2|266553|6|3059|37.58|6530.67|3059|13.15|2718.39|06-OCT-14 08.00.00.000000 AM
37|1|2|266556|9|3059|.82|6.41|3059|13.14|2716.8|06-OCT-14 08.00.00.000000 AM
37|1|2|266548|1|3059|.83|6.08|3059|.85|6.02|06-OCT-14 08.00.00.000000 AM
37|1|2|266562|15|3059|13.09|2717.21|3059|.82|6.37|06-OCT-14 08.00.00.000000 AM
37|1|2|266563|16|3059|25.23|5412.59|3059|25.31|5418.42|06-OCT-14 08.00.00.000000 AM
37|1|2|266550|3|3059|.87|7.77|3059|.89|7.89|06-OCT-14 08.00.00.000000 AM
37|1|2|266560|13|3059|13.02|2710.48|3059|.81|5.09|06-OCT-14 08.00.00.000000 AM
37|1|2|266549|2|3059|.83|5.65|3059|.86|5.57|06-OCT-14 08.00.00.000000 AM
37|1|2|266551|4|3059|.85|6.61|3059|.87|6.55|06-OCT-14 08.00.00.000000 AM
37|1|2|266552|5|3059|.85|7.32|3059|13.11|2711.51|06-OCT-14 08.00.00.000000 AM
37|1|2|266561|14|3059|13.13|2719.36|3059|13.08|2710.51|06-OCT-14 08.00.00.000000 AM
37|1|2|266554|7|3059|13.16|2718.61|3059|.89|7.86|06-OCT-14 08.00.00.000000 AM
37|1|2|266555|8|3059|49.81|9234.63|3059|.85|6.72|06-OCT-14 08.00.00.000000 AM
37|1|2|266557|10|3059|74.37|12797.34|3059|13.05|2709.25|06-OCT-14 08.00.00.000000 AM
37|1|2|266558|11|3059|.83|7.06|3059|.85|6.99|06-OCT-14 08.00.00.000000 AM
37|1|2|266559|12|3059|.83|7.99|3059|.86|7.98|06-OCT-14 08.00.00.000000 AM
37|1|1|266552|5|3072|.75|4.88|3072|.78|4.83|03-OCT-14 08.00.00.000000 AM
37|1|1|266555|8|3072|25.25|3819.29|3072|.82|5.86|03-OCT-14 08.00.00.000000 AM
37|1|1|266561|14|3072|.79|6.53|3072|.82|6.49|03-OCT-14 08.00.00.000000 AM
37|1|1|266562|15|3072|.77|6.44|3072|.8|6.42|03-OCT-14 08.00.00.000000 AM
37|1|1|266548|1|3072|13.02|2709.3|3072|.81|5.87|03-OCT-14 08.00.00.000000 AM
37|1|1|266549|2|3072|.79|4.8|3072|13.04|2708.52|03-OCT-14 08.00.00.000000 AM
37|1|1|266559|12|3072|.78|6.56|3072|.8|6.5|03-OCT-14 08.00.00.000000 AM
37|1|1|266554|7|3072|25.28|3821.15|3072|.85|7.04|03-OCT-14 08.00.00.000000 AM
37|1|1|266560|13|3072|.74|5.07|3072|12.99|2709.2|03-OCT-14 08.00.00.000000 AM
37|1|1|266550|3|3072|13.03|2709.09|3072|.81|4.54|03-OCT-14 08.00.00.000000 AM
37|1|1|266553|6|3072|37.46|6522.63|3072|.8|5.1|03-OCT-14 08.00.00.000000 AM
37|1|1|266557|10|3072|13.01|2709.66|3072|25.26|5413.19|03-OCT-14 08.00.00.000000 AM
37|1|1|266551|4|3072|.82|6.36|3072|.84|6.27|03-OCT-14 08.00.00.000000 AM
37|1|1|266558|11|3072|.8|6.84|3072|.82|6.84|03-OCT-14 08.00.00.000000 AM
37|1|1|266556|9|3072|.78|6.36|3072|.8|6.35|03-OCT-14 08.00.00.000000 AM
37|1|1|266563|16|3072|13.02|2713.19|3072|13.04|2712.03|03-OCT-14 08.00.00.000000 AM
37|1|6|266560|13|3070|25.21|3819.75|3070|13.01|2710.06|10-OCT-14 08.00.00.000000 AM
37|1|6|266548|1|3070|13.07|2713.03|3070|.85|7.03|10-OCT-14 08.00.00.000000 AM
37|1|6|266552|5|3071|13.04|2712.58|3071|13.07|2712.39|10-OCT-14 08.00.00.000000 AM
37|1|6|266555|8|3071|37.45|8111.36|3071|13.09|2713.28|10-OCT-14 08.00.00.000000 AM
37|1|6|266556|9|3070|.8|7.3|3070|.82|7.29|10-OCT-14 08.00.00.000000 AM
37|1|6|266561|14|3070|.82|6.74|3070|.84|6.7|10-OCT-14 08.00.00.000000 AM
37|1|6|266562|15|3070|13.06|2712.16|3070|.86|8.23|10-OCT-14 08.00.00.000000 AM
37|1|6|266550|3|3070|13.06|2708.84|3070|13.09|2711.23|10-OCT-14 08.00.00.000000 AM
37|1|6|266551|4|3070|.81|5.89|3070|.82|5.86|10-OCT-14 08.00.00.000000 AM
37|1|6|266553|6|3070|25.23|5410.77|3070|.8|4.81|10-OCT-14 08.00.00.000000 AM
37|1|6|266554|7|3070|25.29|5414.07|3070|13.09|2710.71|10-OCT-14 08.00.00.000000 AM
37|1|6|266559|12|3070|13.06|2713.67|3070|.85|8.24|10-OCT-14 08.00.00.000000 AM
37|1|6|266563|16|3070|12.97|2708.06|3070|.77|5.37|10-OCT-14 08.00.00.000000 AM
37|1|6|266549|2|3070|.8|5.49|3070|.83|5.39|10-OCT-14 08.00.00.000000 AM
37|1|6|266558|11|3070|13.04|2711.95|3070|.83|7.01|10-OCT-14 08.00.00.000000 AM
37|1|6|266557|10|3070|13.03|2711.89|3070|.83|6.93|10-OCT-14 08.00.00.000000 AM
37|1|3|266550|3|3072|.84|5.98|3072|.87|5.89|07-OCT-14 08.00.00.000000 AM
37|1|3|266557|10|3072|.81|6.72|3072|.84|6.69|07-OCT-14 08.00.00.000000 AM
37|1|3|266562|15|3072|13.07|2712.3|3072|.86|8.03|07-OCT-14 08.00.00.000000 AM
37|1|3|266548|1|3072|13.11|2714.73|3072|.89|10|07-OCT-14 08.00.00.000000 AM
37|1|3|266552|5|3072|25.28|5414.56|3072|.85|6.34|07-OCT-14 08.00.00.000000 AM
37|1|3|266551|4|3072|.84|6.49|3072|.86|6.4|07-OCT-14 08.00.00.000000 AM
37|1|3|266561|14|3072|.82|6.35|3072|.85|6.29|07-OCT-14 08.00.00.000000 AM
37|1|3|266563|16|3072|.77|6.48|3072|.8|6.36|07-OCT-14 08.00.00.000000 AM
37|1|3|266555|8|3072|13.02|2709.32|3072|13.05|2709.22|07-OCT-14 08.00.00.000000 AM
37|1|3|266553|6|3072|13.06|2709.92|3072|.86|6.25|07-OCT-14 08.00.00.000000 AM
37|1|3|266558|11|3072|.83|6.98|3072|.86|6.95|07-OCT-14 08.00.00.000000 AM
37|1|3|266549|2|3072|.85|6.52|3072|.87|6.51|07-OCT-14 08.00.00.000000 AM
37|1|3|266554|7|3072|.84|6.78|3072|.87|6.7|07-OCT-14 08.00.00.000000 AM
37|1|3|266559|12|3072|.82|6.76|3072|25.32|5418.05|07-OCT-14 08.00.00.000000 AM
37|1|3|266556|9|3072|.82|7.07|3072|.85|6.99|07-OCT-14 08.00.00.000000 AM
37|1|3|266560|13|3072|61.92|10335.54|3072|.81|5.71|07-OCT-14 08.00.00.000000 AM
37|1|5|266563|16|3072|12.99|2709.57|3072|.79|5.67|09-OCT-14 08.00.00.000000 AM
37|1|5|266550|3|3072|25.29|5411.77|3072|.86|4.92|09-OCT-14 08.00.00.000000 AM
37|1|5|266556|9|3072|.8|6.32|3072|.82|6.3|09-OCT-14 08.00.00.000000 AM
37|1|5|266548|1|3072|.81|5.95|3072|.83|5.84|09-OCT-14 08.00.00.000000 AM
37|1|5|266559|12|3072|25.27|5415.02|3072|.83|6.67|09-OCT-14 08.00.00.000000 AM
37|1|5|266549|2|3072|25.27|3818.53|3072|.83|4.69|09-OCT-14 08.00.00.000000 AM
37|1|5|266561|14|3072|.83|7.31|3072|.85|7.33|09-OCT-14 08.00.00.000000 AM
37|1|5|266552|5|3072|13.05|2711.25|3072|.83|5.93|09-OCT-14 08.00.00.000000 AM
37|1|5|266555|8|3072|49.74|10820.65|3072|25.32|5414.96|09-OCT-14 08.00.00.000000 AM
37|1|5|266562|15|3072|13.05|2712.59|3072|13.06|2710.45|09-OCT-14 08.00.00.000000 AM
37|1|5|266558|11|3072|.83|6.9|3072|13.08|2709.43|09-OCT-14 08.00.00.000000 AM
37|1|5|266560|13|3072|49.67|9225.15|3072|.78|5.15|09-OCT-14 08.00.00.000000 AM
37|1|5|266553|6|3072|.81|5.31|3072|.83|5.22|09-OCT-14 08.00.00.000000 AM
37|1|5|266554|7|3072|74.24|6544.84|3072|37.57|6527.69|09-OCT-14 08.00.00.000000 AM
