site_id|config_id|run_id|stat_id|stat_usedby|stat_send_mbytes_sec|stat_rvd_mbytes_sec|start_time
37|1|2|266565|Parallel Query|.02|.02|06-OCT-14 08.00.00.000000 AM
37|1|2|266567|DB Streams|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266566|DB Locks|9.88|9.89|06-OCT-14 08.00.00.000000 AM
37|1|2|266568|Other|.22|.22|06-OCT-14 08.00.00.000000 AM
37|1|2|266564|Global Cache|34.44|34.41|06-OCT-14 08.00.00.000000 AM
37|1|1|266565|Parallel Query|.02|.02|03-OCT-14 08.00.00.000000 AM
37|1|1|266567|DB Streams|0|0|03-OCT-14 08.00.00.000000 AM
37|1|1|266566|DB Locks|8.02|8.03|03-OCT-14 08.00.00.000000 AM
37|1|1|266564|Global Cache|28.47|28.45|03-OCT-14 08.00.00.000000 AM
37|1|1|266568|Other|.18|.17|03-OCT-14 08.00.00.000000 AM
37|1|6|266566|DB Locks|8.55|8.55|10-OCT-14 08.00.00.000000 AM
37|1|6|266568|Other|.19|.19|10-OCT-14 08.00.00.000000 AM
37|1|6|266565|Parallel Query|.01|.01|10-OCT-14 08.00.00.000000 AM
37|1|6|266564|Global Cache|30.21|30.2|10-OCT-14 08.00.00.000000 AM
37|1|6|266567|DB Streams|0|0|10-OCT-14 08.00.00.000000 AM
37|1|3|266567|DB Streams|0|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266564|Global Cache|31.38|31.36|07-OCT-14 08.00.00.000000 AM
37|1|3|266566|DB Locks|9.04|9.04|07-OCT-14 08.00.00.000000 AM
37|1|3|266565|Parallel Query|.02|.02|07-OCT-14 08.00.00.000000 AM
37|1|3|266568|Other|.2|.2|07-OCT-14 08.00.00.000000 AM
37|1|5|266564|Global Cache|31.58|31.55|09-OCT-14 08.00.00.000000 AM
37|1|5|266568|Other|.2|.2|09-OCT-14 08.00.00.000000 AM
37|1|5|266565|Parallel Query|.01|.01|09-OCT-14 08.00.00.000000 AM
37|1|5|266566|DB Locks|9.06|9.07|09-OCT-14 08.00.00.000000 AM
37|1|5|266567|DB Streams|0|0|09-OCT-14 08.00.00.000000 AM
37|1|4|266566|DB Locks|9.09|9.1|08-OCT-14 08.00.00.000000 AM
37|1|4|266564|Global Cache|32.32|32.3|08-OCT-14 08.00.00.000000 AM
37|1|4|266565|Parallel Query|.01|.01|08-OCT-14 08.00.00.000000 AM
37|1|4|266568|Other|.21|.21|08-OCT-14 08.00.00.000000 AM
37|1|4|266567|DB Streams|0|0|08-OCT-14 08.00.00.000000 AM
37|1|7|266568|Other|.21|.21|13-OCT-14 08.00.00.000000 AM
37|1|7|266565|Parallel Query|.02|.02|13-OCT-14 08.00.00.000000 AM
37|1|7|266564|Global Cache|34.38|34.35|13-OCT-14 08.00.00.000000 AM
37|1|7|266566|DB Locks|9.68|9.69|13-OCT-14 08.00.00.000000 AM
37|1|7|266567|DB Streams|0|0|13-OCT-14 08.00.00.000000 AM
37|1|11|266564|Global Cache|39.06|39.02|17-OCT-14 08.00.00.000000 AM
37|1|11|266566|DB Locks|10.25|10.26|17-OCT-14 08.00.00.000000 AM
37|1|11|266568|Other|.18|.18|17-OCT-14 08.00.00.000000 AM
37|1|11|266565|Parallel Query|.01|.01|17-OCT-14 08.00.00.000000 AM
37|1|11|266567|DB Streams|0|0|17-OCT-14 08.00.00.000000 AM
37|1|12|266566|DB Locks|10.59|10.6|20-OCT-14 08.00.00.000000 AM
37|1|12|266567|DB Streams|0|0|20-OCT-14 08.00.00.000000 AM
37|1|12|266564|Global Cache|36.69|36.66|20-OCT-14 08.00.00.000000 AM
37|1|12|266568|Other|.05|.05|20-OCT-14 08.00.00.000000 AM
37|1|12|266565|Parallel Query|.01|.01|20-OCT-14 08.00.00.000000 AM
37|1|9|266568|Other|.2|.2|15-OCT-14 08.00.00.000000 AM
37|1|9|266564|Global Cache|42.72|42.68|15-OCT-14 08.00.00.000000 AM
37|1|9|266565|Parallel Query|.01|.01|15-OCT-14 08.00.00.000000 AM
37|1|9|266566|DB Locks|11.09|11.1|15-OCT-14 08.00.00.000000 AM
37|1|9|266567|DB Streams|0|0|15-OCT-14 08.00.00.000000 AM
37|1|8|266565|Parallel Query|.02|.02|14-OCT-14 08.00.00.000000 AM
37|1|8|266568|Other|.2|.2|14-OCT-14 08.00.00.000000 AM
37|1|8|266564|Global Cache|43.55|43.5|14-OCT-14 08.00.00.000000 AM
37|1|8|266566|DB Locks|11.26|11.28|14-OCT-14 08.00.00.000000 AM
37|1|8|266567|DB Streams|0|0|14-OCT-14 08.00.00.000000 AM
37|1|10|266568|Other|.19|.19|16-OCT-14 08.00.00.000000 AM
37|1|10|266566|DB Locks|11.14|11.15|16-OCT-14 08.00.00.000000 AM
37|1|10|266567|DB Streams|0|0|16-OCT-14 08.00.00.000000 AM
37|1|10|266565|Parallel Query|.02|.02|16-OCT-14 08.00.00.000000 AM
37|1|10|266564|Global Cache|42.63|42.59|16-OCT-14 08.00.00.000000 AM
37|1|17|266564|Global Cache|41.64|41.6|27-OCT-14 08.00.00.000000 AM
37|1|17|266565|Parallel Query|.02|.02|27-OCT-14 08.00.00.000000 AM
