site_id|config_id|run_id|stat_id|stat_name|stat_times|stat_db_time_pct|start_time|stat_total_cpu_time_pct
37|1|1|266012|hard parse (sharing criteria) elapsed time|35.75|.03|03-OCT-14 08.00.00.000000 AM|
37|1|1|266014|connection management call elapsed time|3.81|0|03-OCT-14 08.00.00.000000 AM|
37|1|1|266005|sql execute elapsed time|95633.96|76.21|03-OCT-14 08.00.00.000000 AM|
37|1|1|266010|hard parse elapsed time|251.79|.2|03-OCT-14 08.00.00.000000 AM|
37|1|1|266016|sequence load elapsed time|.83|0|03-OCT-14 08.00.00.000000 AM|
37|1|1|266007|PL/SQL execution elapsed time|7734.75|6.17|03-OCT-14 08.00.00.000000 AM|
37|1|1|266008|parse time elapsed|562.37|.45|03-OCT-14 08.00.00.000000 AM|
37|1|1|266015|failed parse elapsed time|1.46|0|03-OCT-14 08.00.00.000000 AM|
37|1|1|266018|DB time|125986.36||03-OCT-14 08.00.00.000000 AM|
37|1|1|266019|background elapsed time|18335.77||03-OCT-14 08.00.00.000000 AM|
37|1|1|266006|DB CPU|41119.84|32.81|03-OCT-14 08.00.00.000000 AM|
37|1|1|266011|repeated bind elapsed time|99.21|.08|03-OCT-14 08.00.00.000000 AM|
37|1|1|266009|Java execution elapsed time|560.63|.45|03-OCT-14 08.00.00.000000 AM|
37|1|1|266020|background cpu time|14151.51||03-OCT-14 08.00.00.000000 AM|
37|1|1|266017|hard parse (bind mismatch) elapsed time|.23|0|03-OCT-14 08.00.00.000000 AM|
37|1|1|266013|PL/SQL compilation elapsed time|4.6|0|03-OCT-14 08.00.00.000000 AM|
37|1|2|266016|sequence load elapsed time|1.18|0|06-OCT-14 08.00.00.000000 AM|
37|1|2|266005|sql execute elapsed time|132137.22|73|06-OCT-14 08.00.00.000000 AM|
37|1|2|266010|hard parse elapsed time|320.71|.18|06-OCT-14 08.00.00.000000 AM|
37|1|2|266006|DB CPU|55200.59|30.52|06-OCT-14 08.00.00.000000 AM|
37|1|2|266007|PL/SQL execution elapsed time|10383.23|5.74|06-OCT-14 08.00.00.000000 AM|
37|1|2|266008|parse time elapsed|800.05|.45|06-OCT-14 08.00.00.000000 AM|
37|1|2|266011|repeated bind elapsed time|134.29|.07|06-OCT-14 08.00.00.000000 AM|
37|1|2|266013|PL/SQL compilation elapsed time|5.14|0|06-OCT-14 08.00.00.000000 AM|
37|1|2|266015|failed parse elapsed time|1.53|0|06-OCT-14 08.00.00.000000 AM|
37|1|2|266009|Java execution elapsed time|898.25|.5|06-OCT-14 08.00.00.000000 AM|
37|1|2|266018|DB time|182208.32||06-OCT-14 08.00.00.000000 AM|
37|1|2|266019|background elapsed time|24478.82||06-OCT-14 08.00.00.000000 AM|
37|1|2|266014|connection management call elapsed time|3.1|0|06-OCT-14 08.00.00.000000 AM|
37|1|2|266017|hard parse (bind mismatch) elapsed time|.36|0|06-OCT-14 08.00.00.000000 AM|
37|1|2|266012|hard parse (sharing criteria) elapsed time|15.99|.01|06-OCT-14 08.00.00.000000 AM|
37|1|2|266020|background cpu time|17421.16||06-OCT-14 08.00.00.000000 AM|
37|1|4|266005|sql execute elapsed time|123430.46|72.18|08-OCT-14 08.00.00.000000 AM|
37|1|4|266008|parse time elapsed|806.29|.47|08-OCT-14 08.00.00.000000 AM|
37|1|4|266010|hard parse elapsed time|358.95|.21|08-OCT-14 08.00.00.000000 AM|
37|1|4|266014|connection management call elapsed time|2.94|0|08-OCT-14 08.00.00.000000 AM|
37|1|4|266007|PL/SQL execution elapsed time|10064.56|5.89|08-OCT-14 08.00.00.000000 AM|
37|1|4|266015|failed parse elapsed time|.96|0|08-OCT-14 08.00.00.000000 AM|
37|1|4|266018|DB time|172021.66||08-OCT-14 08.00.00.000000 AM|
37|1|4|266009|Java execution elapsed time|661.06|.39|08-OCT-14 08.00.00.000000 AM|
37|1|4|266020|background cpu time|15530.67||08-OCT-14 08.00.00.000000 AM|
37|1|4|266011|repeated bind elapsed time|130.38|.08|08-OCT-14 08.00.00.000000 AM|
37|1|4|266013|PL/SQL compilation elapsed time|5.88|0|08-OCT-14 08.00.00.000000 AM|
37|1|4|266017|hard parse (bind mismatch) elapsed time|.41|0|08-OCT-14 08.00.00.000000 AM|
37|1|4|266006|DB CPU|52495.65|30.72|08-OCT-14 08.00.00.000000 AM|
37|1|4|266012|hard parse (sharing criteria) elapsed time|24.38|.02|08-OCT-14 08.00.00.000000 AM|
37|1|4|266016|sequence load elapsed time|1.38|0|08-OCT-14 08.00.00.000000 AM|
37|1|4|266019|background elapsed time|22074.51||08-OCT-14 08.00.00.000000 AM|
37|1|7|266006|DB CPU|51770.92|30.17|13-OCT-14 08.00.00.000000 AM|
37|1|7|266016|sequence load elapsed time|1.3|0|13-OCT-14 08.00.00.000000 AM|
37|1|7|266018|DB time|172685.8||13-OCT-14 08.00.00.000000 AM|
37|1|7|266005|sql execute elapsed time|124760.84|72.65|13-OCT-14 08.00.00.000000 AM|
37|1|7|266017|hard parse (bind mismatch) elapsed time|.11|0|13-OCT-14 08.00.00.000000 AM|
37|1|7|266010|hard parse elapsed time|221.78|.13|13-OCT-14 08.00.00.000000 AM|
37|1|7|266013|PL/SQL compilation elapsed time|4.06|0|13-OCT-14 08.00.00.000000 AM|
37|1|7|266007|PL/SQL execution elapsed time|10028.68|5.85|13-OCT-14 08.00.00.000000 AM|
37|1|7|266011|repeated bind elapsed time|131.32|.08|13-OCT-14 08.00.00.000000 AM|
37|1|7|266014|connection management call elapsed time|4.02|0|13-OCT-14 08.00.00.000000 AM|
37|1|7|266008|parse time elapsed|638.44|.37|13-OCT-14 08.00.00.000000 AM|
37|1|7|266012|hard parse (sharing criteria) elapsed time|10.49|.01|13-OCT-14 08.00.00.000000 AM|
37|1|7|266015|failed parse elapsed time|2.81|0|13-OCT-14 08.00.00.000000 AM|
37|1|7|266009|Java execution elapsed time|816.37|.48|13-OCT-14 08.00.00.000000 AM|
37|1|7|266019|background elapsed time|22253.74||13-OCT-14 08.00.00.000000 AM|
37|1|7|266020|background cpu time|16638.5||13-OCT-14 08.00.00.000000 AM|
37|1|6|266019|background elapsed time|19583.11||10-OCT-14 08.00.00.000000 AM|
37|1|6|266005|sql execute elapsed time|110609.61|73.69|10-OCT-14 08.00.00.000000 AM|
37|1|6|266007|PL/SQL execution elapsed time|9001.88|6|10-OCT-14 08.00.00.000000 AM|
37|1|6|266010|hard parse elapsed time|300.64|.2|10-OCT-14 08.00.00.000000 AM|
37|1|6|266013|PL/SQL compilation elapsed time|6.04|0|10-OCT-14 08.00.00.000000 AM|
37|1|6|266018|DB time|150876.42||10-OCT-14 08.00.00.000000 AM|
37|1|6|266012|hard parse (sharing criteria) elapsed time|13.1|.01|10-OCT-14 08.00.00.000000 AM|
37|1|6|266011|repeated bind elapsed time|117.32|.08|10-OCT-14 08.00.00.000000 AM|
37|1|6|266006|DB CPU|46842.63|31.23|10-OCT-14 08.00.00.000000 AM|
37|1|6|266008|parse time elapsed|648.16|.43|10-OCT-14 08.00.00.000000 AM|
37|1|6|266014|connection management call elapsed time|3.04|0|10-OCT-14 08.00.00.000000 AM|
37|1|6|266015|failed parse elapsed time|.66|0|10-OCT-14 08.00.00.000000 AM|
37|1|6|266020|background cpu time|15080.42||10-OCT-14 08.00.00.000000 AM|
37|1|6|266017|hard parse (bind mismatch) elapsed time|.35|0|10-OCT-14 08.00.00.000000 AM|
37|1|6|266009|Java execution elapsed time|592.06|.39|10-OCT-14 08.00.00.000000 AM|
37|1|6|266016|sequence load elapsed time|.81|0|10-OCT-14 08.00.00.000000 AM|
37|1|5|266011|repeated bind elapsed time|128.42|.08|09-OCT-14 08.00.00.000000 AM|
37|1|5|266008|parse time elapsed|719.38|.42|09-OCT-14 08.00.00.000000 AM|
37|1|5|266020|background cpu time|15746.9||09-OCT-14 08.00.00.000000 AM|
37|1|5|266005|sql execute elapsed time|126606.05|74.25|09-OCT-14 08.00.00.000000 AM|
37|1|5|266014|connection management call elapsed time|3.02|0|09-OCT-14 08.00.00.000000 AM|
37|1|5|266007|PL/SQL execution elapsed time|9974.63|5.86|09-OCT-14 08.00.00.000000 AM|
37|1|5|266010|hard parse elapsed time|339.22|.2|09-OCT-14 08.00.00.000000 AM|
37|1|5|266015|failed parse elapsed time|1.35|0|09-OCT-14 08.00.00.000000 AM|
37|1|5|266006|DB CPU|52973.05|31.08|09-OCT-14 08.00.00.000000 AM|
37|1|5|266016|sequence load elapsed time|1.27|0|09-OCT-14 08.00.00.000000 AM|
37|1|5|266017|hard parse (bind mismatch) elapsed time|.36|0|09-OCT-14 08.00.00.000000 AM|
37|1|5|266009|Java execution elapsed time|666.68|.39|09-OCT-14 08.00.00.000000 AM|
37|1|5|266012|hard parse (sharing criteria) elapsed time|14.52|.01|09-OCT-14 08.00.00.000000 AM|
37|1|5|266018|DB time|171276.09||09-OCT-14 08.00.00.000000 AM|
37|1|5|266013|PL/SQL compilation elapsed time|5.54|0|09-OCT-14 08.00.00.000000 AM|
37|1|5|266019|background elapsed time|20862.66||09-OCT-14 08.00.00.000000 AM|
37|1|3|266012|hard parse (sharing criteria) elapsed time|24.25|.01|07-OCT-14 08.00.00.000000 AM|
37|1|3|266017|hard parse (bind mismatch) elapsed time|.16|0|07-OCT-14 08.00.00.000000 AM|
37|1|3|266018|DB time|176868.44||07-OCT-14 08.00.00.000000 AM|
37|1|3|266010|hard parse elapsed time|312.59|.18|07-OCT-14 08.00.00.000000 AM|
37|1|3|266020|background cpu time|15322.3||07-OCT-14 08.00.00.000000 AM|
37|1|3|266005|sql execute elapsed time|128193.06|72.92|07-OCT-14 08.00.00.000000 AM|
37|1|3|266013|PL/SQL compilation elapsed time|5.28|0|07-OCT-14 08.00.00.000000 AM|
37|1|3|266014|connection management call elapsed time|3.05|0|07-OCT-14 08.00.00.000000 AM|
37|1|3|266016|sequence load elapsed time|1.33|0|07-OCT-14 08.00.00.000000 AM|
37|1|3|266008|parse time elapsed|741.62|.42|07-OCT-14 08.00.00.000000 AM|
37|1|3|266009|Java execution elapsed time|633.62|.36|07-OCT-14 08.00.00.000000 AM|
37|1|3|266006|DB CPU|53825.72|30.66|07-OCT-14 08.00.00.000000 AM|
37|1|3|266011|repeated bind elapsed time|129.99|.08|07-OCT-14 08.00.00.000000 AM|
37|1|3|266007|PL/SQL execution elapsed time|10095.3|5.76|07-OCT-14 08.00.00.000000 AM|
37|1|3|266015|failed parse elapsed time|3.75|0|07-OCT-14 08.00.00.000000 AM|
37|1|3|266019|background elapsed time|19225.51||07-OCT-14 08.00.00.000000 AM|
37|1|11|266017|hard parse (bind mismatch) elapsed time|.1|0|17-OCT-14 08.00.00.000000 AM|
37|1|11|266020|background cpu time|16347.31||17-OCT-14 08.00.00.000000 AM|
37|1|11|266006|DB CPU|48028.07|32.2|17-OCT-14 08.00.00.000000 AM|
37|1|11|266012|hard parse (sharing criteria) elapsed time|13.9|.01|17-OCT-14 08.00.00.000000 AM|
37|1|11|266015|failed parse elapsed time|1.16|0|17-OCT-14 08.00.00.000000 AM|
37|1|11|266007|PL/SQL execution elapsed time|8979.17|6.02|17-OCT-14 08.00.00.000000 AM|
37|1|11|266016|sequence load elapsed time|.95|0|17-OCT-14 08.00.00.000000 AM|
37|1|11|266018|DB time|150016.19||17-OCT-14 08.00.00.000000 AM|
37|1|11|266019|background elapsed time|22317.58||17-OCT-14 08.00.00.000000 AM|
