site_id|config_id|run_id|inst_id|stat_id|stat_name|undo_ts_num|num_undo_blocks|num_trans|max_qry_lens|max_tx_concurcy|min_tr|max_tr|snap_too_old_cnt|out_of_space_cnt|unexpired_stolen|unexpired_rel|unexpired_reused|expired_stolen|expired_rel|expired_reused|start_time
37|1|1|14|266626|undo segment|68|327.56|1198999|1853|57|181|181|0|0|0|0|0|0|0|0|03-OCT-14 08.00.00.000000 AM
37|1|1|5|266626|undo segment|31|273.61|904389|1877|78|181|181|0|0|0|0|0|0|0|0|03-OCT-14 08.00.00.000000 AM
37|1|1|3|266626|undo segment|35|493.95|924174|1852|32|181|181|0|0|0|0|0|0|0|0|03-OCT-14 08.00.00.000000 AM
37|1|1|6|266626|undo segment|32|298.89|938833|1902|50|181|181|0|0|0|0|0|0|0|0|03-OCT-14 08.00.00.000000 AM
37|1|2|7|266626|undo segment|33|378.42|1106732|1839|27|181|181|0|0|0|0|0|0|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|1|266626|undo segment|27|388.33|1196421|1811|35|181|181|0|0|0|0|0|0|0|0|06-OCT-14 08.00.00.000000 AM
37|1|1|4|266626|undo segment|30|300.85|938971|1620|44|181|181|0|0|0|0|0|0|0|0|03-OCT-14 08.00.00.000000 AM
37|1|1|12|266626|undo segment|66|293.3|926673|1716|49|181|181|0|0|0|0|0|0|0|0|03-OCT-14 08.00.00.000000 AM
37|1|1|1|266626|undo segment|27|293.7|927311|1860|26|181|181|0|0|0|0|0|0|0|0|03-OCT-14 08.00.00.000000 AM
37|1|1|10|266626|undo segment|64|297.74|962003|1493|48|181|181|0|0|0|0|0|0|0|0|03-OCT-14 08.00.00.000000 AM
37|1|1|16|266626|undo segment|70|316.38|938039|1534|48|181|181|0|0|0|0|0|0|0|0|03-OCT-14 08.00.00.000000 AM
37|1|1|11|266626|undo segment|65|483.6|983355|1864|46|181|181|0|0|0|0|0|0|0|0|03-OCT-14 08.00.00.000000 AM
37|1|1|15|266626|undo segment|69|278.42|970103|1929|69|181|181|0|0|0|0|0|0|0|0|03-OCT-14 08.00.00.000000 AM
37|1|2|5|266626|undo segment|31|367.91|1215876|1858|124|181|181|0|0|0|0|0|0|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|15|266626|undo segment|69|412.67|1222945|1818|85|181|181|0|0|0|0|0|0|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|13|266626|undo segment|67|372.21|1223383|1773|129|181|181|0|0|0|0|0|0|0|0|06-OCT-14 08.00.00.000000 AM
37|1|1|7|266626|undo segment|33|265.69|862542|1778|20|181|181|0|0|0|0|0|0|0|0|03-OCT-14 08.00.00.000000 AM
37|1|1|8|266626|undo segment|34|284.22|922673|1831|45|181|181|0|0|0|0|0|0|0|0|03-OCT-14 08.00.00.000000 AM
37|1|1|13|266626|undo segment|67|306.83|934455|1471|48|181|181|0|0|0|0|0|0|0|0|03-OCT-14 08.00.00.000000 AM
37|1|1|9|266626|undo segment|63|279.06|887932|1617|46|181|181|0|0|0|0|0|0|0|0|03-OCT-14 08.00.00.000000 AM
37|1|1|2|266626|undo segment|28|349.58|981195|1406|34|181|181|0|0|0|0|0|0|0|0|03-OCT-14 08.00.00.000000 AM
37|1|2|9|266626|undo segment|63|466.64|1169455|1780|55|181|181|0|0|0|0|0|0|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|16|266626|undo segment|70|412.25|1195369|1845|101|181|181|0|0|0|0|0|0|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|11|266626|undo segment|65|569.05|1197904|1763|98|181|181|0|0|0|0|0|0|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|8|266626|undo segment|34|417.91|1224783|1796|59|181|181|0|0|0|0|0|0|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|14|266626|undo segment|68|463.87|1401551|1698|135|181|181|0|0|0|0|0|0|0|0|06-OCT-14 08.00.00.000000 AM
